H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
-0.59,-0.14,0.15,27,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,-2
-0.69,-0.12,0.15,27,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,-1
-0.78,-0.21,0.15,26,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,0
-0.59,-0.17,0.15,27,2.18,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,1
-0.59,-0.21,0.15,26,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,2
-0.88,-0.17,0.15,28,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,3
-0.88,-0.17,0.15,27,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,4
-0.69,-0.14,0.16,28,2.36,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,5
-0.59,-0.14,0.16,27,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,6
-0.69,-0.19,0.16,26,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,7
-0.59,-0.21,0.16,27,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,8
-0.49,-0.23,0.16,26,2.36,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,9
-0.78,-0.19,0.16,27,2.36,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,10
-0.59,-0.19,0.16,26,2.27,21.19,48.91,21.06,52.55,41.3730239868,1.9910600185,88.0136032104,0.0141,11
-0.49,-0.14,0.18,27,2.36,21.16,49.08,21.06,52.62,41.3730239868,1.9910600185,88.0002975464,0.0141,11
-0.59,-0.19,0.18,27,2.27,21.16,49.08,21.06,52.62,41.3730239868,1.9910600185,88.0002975464,0.0141,12.0666666666667
-0.78,-0.17,0.17,27,2.36,21.16,49.08,21.06,52.62,41.3730239868,1.9910600185,88.0002975464,0.0141,13.1333333333333
-0.4,-0.12,0.18,26,2.27,21.16,49.08,21.06,52.62,41.3730239868,1.9910600185,88.0002975464,0.0141,14.2
-0.59,-0.19,0.18,26,2.27,21.16,49.08,21.06,52.62,41.3730239868,1.9910600185,88.0002975464,0.0141,15.2666666666667
-0.59,-0.21,0.17,27,2.27,21.16,49.08,21.06,52.62,41.3730239868,1.9910600185,88.0002975464,0.0141,16.3333333333333
-0.4,-0.21,0.18,26,2.27,21.16,49.08,21.06,52.62,41.3730239868,1.9910600185,88.0002975464,0.0141,17.4
-0.59,-0.21,0.19,28,2.36,21.16,49.08,21.06,52.62,41.3730239868,1.9910600185,88.0002975464,0.0141,18.4666666666667
-0.49,-0.17,0.18,27,2.27,21.16,49.08,21.06,52.62,41.3730239868,1.9910600185,88.0002975464,0.0141,19.5333333333333
