TGS2600,TGS2602,TGS2611,TGS2620,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
0.01,31.22,14,38.52,23.2,53.96,23.2,53.89,23.27,52.53,23.11,53.96,41.3730239868,1.9910600185,88.0194015503,0.0141,-2
0.01,31.09,14.03,38.67,23.2,53.96,23.2,53.89,23.27,52.53,23.11,53.96,41.3730239868,1.9910600185,88.0194015503,0.0141,-1
0.01,31.06,14.02,38.89,23.2,53.96,23.2,53.89,23.27,52.53,23.11,53.96,41.3730239868,1.9910600185,88.0194015503,0.0141,0
0.01,31.12,14.03,38.59,23.2,53.96,23.2,53.89,23.27,52.53,23.11,53.96,41.3730239868,1.9910600185,88.0194015503,0.0141,1
0.01,31.33,14.07,39.06,23.2,53.96,23.2,53.89,23.27,52.53,23.11,53.96,41.3730239868,1.9910600185,88.0194015503,0.0141,2
0.01,31.38,14.1,38.9,23.2,53.96,23.2,53.89,23.27,52.53,23.11,53.96,41.3730239868,1.9910600185,88.0194015503,0.0141,3
0.01,31.04,14.04,38.64,23.2,53.96,23.2,53.89,23.27,52.53,23.11,53.96,41.3730239868,1.9910600185,88.0194015503,0.0141,4
0.01,31.2,14.05,38.58,23.2,53.96,23.2,53.89,23.27,52.53,23.11,53.96,41.3730239868,1.9910600185,88.0194015503,0.0141,5
0.01,31.15,14.1,39.11,23.27,53.92,23.27,54.02,23.3,52.68,23.16,53.92,41.3730239868,1.9910600185,88.0061035156,0.0141,5
0.01,31.13,14.08,38.71,23.27,53.92,23.27,54.02,23.3,52.68,23.16,53.92,41.3730239868,1.9910600185,88.0061035156,0.0141,6.25
0.01,31.09,14.04,38.74,23.27,53.92,23.27,54.02,23.3,52.68,23.16,53.92,41.3730239868,1.9910600185,88.0061035156,0.0141,7.5
0.01,31.38,14.12,39.1,23.27,53.92,23.27,54.02,23.3,52.68,23.16,53.92,41.3730239868,1.9910600185,88.0061035156,0.0141,8.75
0.01,31.3,14.13,39.18,23.27,53.92,23.27,54.02,23.3,52.68,23.16,53.92,41.3730239868,1.9910600185,88.0061035156,0.0141,10
0.01,31.32,14.12,38.9,23.27,53.92,23.27,54.02,23.3,52.68,23.16,53.92,41.3730239868,1.9910600185,88.0061035156,0.0141,11.25
0.01,31.01,14.06,38.95,23.27,53.92,23.27,54.02,23.3,52.68,23.16,53.92,41.3730239868,1.9910600185,88.0061035156,0.0141,12.5
0.01,31.31,14.14,39.25,23.27,53.92,23.27,54.02,23.3,52.68,23.16,53.92,41.3730239868,1.9910600185,88.0061035156,0.0141,13.75
0.01,31.14,14.18,39.3,23.31,53.76,23.3,53.81,23.39,52.43,23.2,53.76,41.3730239868,1.9910601377,88.004699707,0.0141,13.75
0.01,31.22,14.15,39.34,23.31,53.76,23.3,53.81,23.39,52.43,23.2,53.76,41.3730239868,1.9910601377,88.004699707,0.0141,14.5
0.01,31.38,14.18,39.11,23.31,53.76,23.3,53.81,23.39,52.43,23.2,53.76,41.3730239868,1.9910601377,88.004699707,0.0141,15.25
0.01,31.13,14.11,39.4,23.31,53.76,23.3,53.81,23.39,52.43,23.2,53.76,41.3730239868,1.9910601377,88.004699707,0.0141,16
0.01,30.97,14.13,38.9,23.31,53.76,23.3,53.81,23.39,52.43,23.2,53.76,41.3730239868,1.9910601377,88.004699707,0.0141,16.75
