SGP1,SGP2,ENS1,ENS2,ENS3,ENS4,BME,SCD,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
49.37,5.16,193.46,164.43,0,735.71,153.31,502,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,-2
49.52,5.16,160.65,169.06,0,734.21,150.48,502,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,-1
49.21,5.16,175.34,167.18,0,773.76,154.61,502,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,0
49.23,5.16,182.27,171.54,0,693.4,152.53,502,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,1
49.31,5.17,183.64,162.83,0,821.8,148.56,502,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,2
49.1,5.16,184.44,164.54,0,714.6,133.08,502,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,3
49.51,5.16,185.44,162.28,0,752.32,142.55,502,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,4
49.53,5.16,190.87,166.56,0,718.72,149.67,496,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,5
49.35,5.16,192.48,169.86,0,754.62,144.74,496,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,6
49.49,5.16,192.48,170.56,0,743.47,144.74,496,21.2,48.35,21.19,48.42,21.22,48.23,21.22,49.13,41.3730239868,1.9910600185,87.9953994751,0.0141,7
49.67,5.16,192.81,167.64,0,797.15,154.3,499,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,7
49.57,5.16,159.75,171.83,0,738.45,146.41,499,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,8.6
49.56,5.16,175.52,171.13,0,704.04,136.41,499,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,10.2
49.75,5.16,183.25,168.21,0,756.41,146.96,499,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,11.8
49.52,5.16,184.24,173.7,0,828.51,162.44,499,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,13.4
49.51,5.16,185.84,174.35,0,728.77,138.88,499,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,15
49.59,5.16,186.86,165.38,0,734.71,150.48,498,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,16.6
49.55,5.16,187.07,159.77,0,806.38,150.07,498,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,18.2
49.66,5.15,192.16,162.94,0,790.97,135.12,498,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,19.8
49.69,5.15,192.92,169.92,0,728.52,137.29,498,21.22,48.24,21.22,48.36,21.23,48.2,21.23,49.12,41.3730239868,1.9910600185,88.0055007935,0.0141,21.4
49.92,5.15,194.34,165.61,0,777.7,139.97,498,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,21.4
49.71,5.15,160.96,169.35,0,712.67,133.08,498,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,22.2
49.83,5.16,175.16,167.3,0,771.67,146.76,498,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,23
49.84,5.15,184.04,171.13,0,746.49,145.57,498,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,23.8
49.82,5.15,184.64,164.54,0,752.58,132.05,498,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,24.6
49.48,5.15,186.45,158.85,0,821.8,158.8,498,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,25.4
49.49,5.16,191.08,173.7,0,783.77,141.2,491,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,26.2
49.81,5.15,192.26,171.83,0,737.2,140.54,491,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,27
49.77,5.15,194.12,172.88,0,744.98,139.82,491,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,27.8
49.97,5.15,193.9,171.83,0,785.37,156.29,491,21.22,48.31,21.22,48.32,21.23,48.19,21.22,48.99,41.3730239868,1.9910600185,88.0056991577,0.0141,28.6
49.94,5.15,194.9,170.15,0,813.5,139.31,490,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,28.6
50.12,5.15,161.57,179.13,0,745.23,144.1,490,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,29.4
49.9,5.15,176.61,167.81,0,790.97,132.01,490,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,30.2
50.2,5.15,183.25,170.5,0,722.63,154.61,490,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,31
49.94,5.15,185.84,172.18,0,801.21,144.39,490,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,31.8
49.88,5.14,190.87,172.3,0,756.41,163.66,490,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,32.6
50.16,5.15,191.51,174.53,0,806.65,147.46,494,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,33.4
49.94,5.15,193.35,159.5,0,743.21,147.85,494,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,34.2
50.12,5.15,194.46,164.99,0,727.53,134.03,494,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,35
49.91,5.15,194.9,173.64,0,754.36,148.06,494,21.22,48.19,21.2,48.21,21.2,48.04,21.23,48.94,41.3730239868,1.9910600185,87.9907989502,0.0141,35.8
49.97,5.15,195.79,177.87,0,795.53,162.5,491,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,35.8
50.03,5.14,162.18,167.35,0,787.23,152.07,491,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,36.5272727272727
50.12,5.14,177.35,172.53,0,819.58,131.47,491,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,37.2545454545455
50.17,5.14,184.24,173.23,0,741.71,142.6,491,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,37.9818181818182
50.06,5.15,186.05,173.11,0,801.75,145.92,488,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,38.7090909090909
50.03,5.15,190.97,177.26,0,789.9,144.78,488,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,39.4363636363636
50.16,5.15,192.05,173.76,0,790.97,147.06,488,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,40.1636363636364
50.12,5.15,194.01,173.23,0,747,155.82,488,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,40.8909090909091
50.33,5.14,194.46,172.53,0,797.42,147.75,488,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,41.6181818181818
50.27,5.15,195.9,172.18,0,766.46,153.88,488,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,42.3454545454545
50.18,5.14,196.36,167.64,0,805.83,148.51,490,21.22,48.14,21.2,48.23,21.22,47.99,21.25,48.8,41.3730239868,1.9910601377,87.9975967407,0.0141,43.0727272727273
50.51,5.15,197.72,169.18,0,829.07,156.29,490,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,43.0727272727273
50.26,5.14,162.33,161.78,0,760.26,133.44,490,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,43.9818181818182
50.51,5.15,177.9,167.3,0,726.06,142.02,487,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,44.8909090909091
50.31,5.14,186.25,177.69,0,711.94,156.61,487,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,45.8
50.33,5.14,191.08,183.86,0,746.74,137.43,487,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,46.7090909090909
50.64,5.14,192.92,172.18,0,726.8,150.74,487,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,47.6181818181818
50.27,5.14,193.24,168.49,0,748.77,141.01,487,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,48.5272727272727
50.35,5.14,194.79,169.81,0,779.54,151.04,487,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,49.4363636363636
50.35,5.14,196.02,170.67,0,771.67,145.57,483,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,50.3454545454545
50.3,5.14,196.92,180.11,0,763.61,141.92,483,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,51.2545454545455
50.19,5.14,197.26,166.56,0,737.95,138.83,483,21.22,48.26,21.23,48.34,21.27,48.18,21.25,49.06,41.3730239868,1.9910601377,87.9759979248,0.0141,52.1636363636364
50.5,5.14,198.07,169.86,0,788.83,165.44,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,52.1636363636364
50.35,5.14,162.64,176.31,0,772.71,133.99,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,53.0727272727273
50.34,5.14,178.46,167.18,0,808.56,141.59,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,53.9818181818182
50.63,5.14,187.07,180.17,0,792.85,144.1,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,54.8909090909091
50.42,5.13,192.16,176.91,0,796.88,146.71,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,55.8
50.7,5.14,191.4,170.96,0,777.96,150.43,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,56.7090909090909
50.29,5.14,194.23,171.31,0,766.2,129.22,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,57.6181818181818
50.43,5.14,195.23,175.65,0,799.31,152.63,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,58.5272727272727
50.41,5.14,196.13,175,0,854.42,135.4,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,59.4363636363636
50.59,5.14,197.04,176.07,0,799.04,141.92,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,60.3454545454546
50.4,5.13,198.41,170.56,0,815.99,148.21,486,21.22,48.13,21.23,48.29,21.23,48.15,21.25,49.08,41.3730239868,1.9910601377,87.9597015381,0.0141,61.2545454545455
50.84,5.14,198.41,167.3,0,799.04,132.99,491,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,61.2545454545455
50.79,5.14,162.8,172.65,0,820.41,140.44,491,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,62.2545454545455
50.62,5.14,178.83,170.15,0,845.5,140.44,491,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,63.2545454545455
50.64,5.13,187.27,168.66,0,815.43,138.93,491,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,64.2545454545455
50.55,5.14,191.83,178.95,0,840.37,141.4,491,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,65.2545454545455
50.66,5.14,193.57,166.84,0,775.86,148.96,493,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,66.2545454545455
50.98,5.14,194.9,172.12,0,766.98,143.32,493,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,67.2545454545455
50.8,5.13,196.02,179.13,0,810.48,141.2,493,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,68.2545454545455
50.72,5.14,196.24,170.79,0,813.23,138.27,493,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,69.2545454545455
50.78,5.14,197.61,174.11,0,763.35,151.86,493,21.23,48.15,21.22,48.25,21.23,48.08,21.27,48.92,41.3730239868,1.9910601377,87.9786987305,0.0141,70.2545454545455
50.51,5.14,197.84,176.61,0,803.65,156.4,489,21.23,48.5,21.2,48.6,21.23,48.56,21.28,49.38,41.3730239868,1.9910600185,87.9501037598,0.0141,70.2545454545455
50.74,5.13,163.89,166.56,0,840.37,148.36,489,21.23,48.5,21.2,48.6,21.23,48.56,21.28,49.38,41.3730239868,1.9910600185,87.9501037598,0.0141,71.2545454545455
50.6,5.14,179.96,173.29,0,807.74,145.37,489,21.23,48.5,21.2,48.6,21.23,48.56,21.28,49.38,41.3730239868,1.9910600185,87.9501037598,0.0141,72.2545454545455
50.76,5.13,187.27,174.76,0,800.94,149.01,489,21.23,48.5,21.2,48.6,21.23,48.56,21.28,49.38,41.3730239868,1.9910600185,87.9501037598,0.0141,73.2545454545455
