TGS2600,TGS2602,TGS2611,TGS2620,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
0.04,30.15,14.01,44.19,28.28,48.28,28.33,46.14,28.39,44.25,28.19,48.28,41.3705940247,1.9958689213,145.0355072021,0.0574,-7
0.04,30.05,14,44.31,28.28,48.28,28.33,46.14,28.39,44.25,28.19,48.28,41.3705940247,1.9958689213,145.0355072021,0.0574,-6
0.04,29.98,13.96,44.2,28.28,48.28,28.33,46.14,28.39,44.25,28.19,48.28,41.3705940247,1.9958689213,145.0355072021,0.0574,-5
0.04,30.04,14,44.14,28.28,48.28,28.33,46.14,28.39,44.25,28.19,48.28,41.3705940247,1.9958689213,145.0355072021,0.0574,-4
0.04,30.08,14.02,44.3,28.28,48.28,28.33,46.14,28.39,44.25,28.19,48.28,41.3705940247,1.9958689213,145.0355072021,0.0574,-3
0.04,29.84,13.98,44.65,28.28,48.28,28.33,46.14,28.39,44.25,28.19,48.28,41.3705940247,1.9958689213,145.0355072021,0.0574,-2
0.04,29.82,13.97,45.01,28.28,48.28,28.33,46.14,28.39,44.25,28.19,48.28,41.3705940247,1.9958689213,145.0355072021,0.0574,-1
0.04,29.86,13.95,44.22,28.28,48.28,28.33,46.14,28.39,44.25,28.19,48.28,41.3705940247,1.9958689213,145.0355072021,0.0574,0
0.04,30.2,13.43,44.64,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,0
0.04,30.06,13.43,44.56,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,0.666666666666667
0.04,30.11,13.48,44.66,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,1.33333333333333
0.04,30.11,13.49,44.57,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,2
0.04,30.4,13.59,45.08,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,2.66666666666667
0.04,30.42,13.58,44.59,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,3.33333333333333
0.04,30.42,13.62,44.95,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,4
0.04,30.11,13.57,44.41,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,4.66666666666667
0.04,30.07,13.57,44.49,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,5.33333333333333
0.04,30.35,13.66,44.98,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,6
0.04,30.41,13.66,44.47,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,6.66666666666667
0.04,30.17,13.61,44.06,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,7.33333333333333
0.04,30.11,13.66,44.22,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,8
0.04,30.26,13.75,44.64,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,8.66666666666667
0.04,30.32,13.74,44.76,28.62,47.76,28.64,45.4,28.75,43.52,28.52,47.76,41.3705940247,1.9958689213,144.9709014893,0.0962,9.33333333333333
0.04,29.98,13.7,44.6,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,9.33333333333333
0.04,30.23,13.78,44.57,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,10.3333333333333
0.04,30.28,13.77,44.19,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,11.3333333333333
0.04,30.34,13.8,44.07,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,12.3333333333333
0.04,29.99,13.74,44.08,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,13.3333333333333
0.04,30.05,13.74,44.46,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,14.3333333333333
0.04,29.94,13.76,44.71,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,15.3333333333333
0.04,30,13.78,44.51,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,16.3333333333333
0.04,30.07,13.87,44.86,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,17.3333333333333
0.04,30.28,13.82,44.5,28.67,47.74,28.7,45.45,28.75,43.54,28.55,47.74,41.3705940247,1.9958695173,145.0218963623,0.063,18.3333333333333
0.04,30.05,13.87,44.5,28.7,47.82,28.77,45.64,28.86,43.85,28.61,47.82,41.3705940247,1.9958693981,145.0901031494,0.0553,18.3333333333333
0.04,30.14,13.87,44.75,28.7,47.82,28.77,45.64,28.86,43.85,28.61,47.82,41.3705940247,1.9958693981,145.0901031494,0.0553,19.6666666666667
0.04,30.27,13.84,44.47,28.7,47.82,28.77,45.64,28.86,43.85,28.61,47.82,41.3705940247,1.9958693981,145.0901031494,0.0553,21
0.04,30.2,13.78,43.92,28.7,47.82,28.77,45.64,28.86,43.85,28.61,47.82,41.3705940247,1.9958693981,145.0901031494,0.0553,22.3333333333333
0.04,29.94,13.81,44.06,28.7,47.82,28.77,45.64,28.86,43.85,28.61,47.82,41.3705940247,1.9958693981,145.0901031494,0.0553,23.6666666666667
