SGP1,SGP2,ENS1,ENS2,ENS3,ENS4,BME,SCD,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
52.95,5.34,244.45,213.17,0,980.94,126.71,531,750.98,128,28,37.29,28.05,35.72,28.08,36.2,41.3705978394,1.995860219,144.5422058105,0.0746,32
53.07,5.34,203.01,204.55,0,1032.03,150.48,531,750.98,128,28,37.29,28.05,35.72,28.08,36.2,41.3705978394,1.995860219,144.5422058105,0.0746,33
52.98,5.34,224.51,209.59,0,1015.4,138.04,531,750.98,128,28,37.29,28.05,35.72,28.08,36.2,41.3705978394,1.995860219,144.5422058105,0.0746,34
52.75,5.34,233.26,209.03,0,1027.15,132.59,531,750.98,128,28,37.29,28.05,35.72,28.08,36.2,41.3705978394,1.995860219,144.5422058105,0.0746,35
53.09,5.34,246.21,206.01,0,1019.88,138.46,540,750.98,128,28,37.29,28.05,35.72,28.08,36.2,41.3705978394,1.995860219,144.5422058105,0.0746,36
52.97,5.34,245.5,218.06,0,947.65,130.32,538,750.98,128,28.05,37.31,28.05,35.68,28.06,36.18,41.3705978394,1.9958603382,144.4893951416,0.0637,36
53.2,5.34,204.35,210.95,0,986.94,138.13,538,750.98,128,28.05,37.31,28.05,35.68,28.06,36.18,41.3705978394,1.9958603382,144.4893951416,0.0637,36.8888888888889
52.97,5.34,226,212.45,0,961.55,140.54,538,750.98,128,28.05,37.31,28.05,35.68,28.06,36.18,41.3705978394,1.9958603382,144.4893951416,0.0637,37.7777777777778
53.17,5.34,235.19,212.45,0,963.5,135.86,538,750.98,128,28.05,37.31,28.05,35.68,28.06,36.18,41.3705978394,1.9958603382,144.4893951416,0.0637,38.6666666666667
53.22,5.33,236.82,210.73,0,957.65,132.86,538,750.98,128,28.05,37.31,28.05,35.68,28.06,36.18,41.3705978394,1.9958603382,144.4893951416,0.0637,39.5555555555556
53.17,5.33,238.97,203.17,0,905.94,131.07,537,750.98,128,28.05,37.31,28.05,35.68,28.06,36.18,41.3705978394,1.9958603382,144.4893951416,0.0637,40.4444444444444
53.21,5.33,242.19,200.1,0,944.77,149.52,537,750.98,128,28.05,37.31,28.05,35.68,28.06,36.18,41.3705978394,1.9958603382,144.4893951416,0.0637,41.3333333333333
53.21,5.33,242.88,201.19,0,955.71,149.21,537,750.98,128,28.05,37.31,28.05,35.68,28.06,36.18,41.3705978394,1.9958603382,144.4893951416,0.0637,42.2222222222222
53.14,5.34,243.75,211.45,0,1023.68,126.67,537,750.98,128,28.05,37.31,28.05,35.68,28.06,36.18,41.3705978394,1.9958603382,144.4893951416,0.0637,43.1111111111111
53.52,5.33,245.68,219.32,0,1000.39,136.41,536,750.98,128,28.05,37.02,28.06,35.36,28.11,35.78,41.3705978394,1.9958600998,144.584197998,0.0636,43.1111111111111
53.26,5.34,206.33,214.11,0,988.27,131.07,536,750.98,128,28.05,37.02,28.06,35.36,28.11,35.78,41.3705978394,1.9958600998,144.584197998,0.0636,38.1111111111111
