SGP1,SGP2,ENS1,ENS2,ENS3,ENS4,BME,SCD,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
54.23,5.3,257.74,215.42,0,1007.52,145.92,558,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,45
54.4,5.3,211.96,210.16,0,990.28,133.22,558,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,46
54.47,5.3,235.84,208.32,0,942.54,133.35,558,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,47
54.57,5.3,246.21,211.16,0,1000.39,134.71,558,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,48
54.62,5.3,247.82,200.5,0,958.62,144.25,563,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,49
54.47,5.3,248.72,221.63,0,982.94,142.21,563,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,50
54.49,5.29,252.03,205.38,0,946.05,140.77,563,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,51
54.63,5.3,250.55,204.06,0,1010.94,144.69,563,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,52
54.65,5.3,253.15,210.88,0,1021.26,137.94,563,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,53
54.51,5.3,255.04,203.17,0,1054.63,134.81,563,750.98,128,26.5,39.51,26.48,38.03,26.55,38.54,41.3705940247,1.9958944321,144.4972991943,0.0837,54
54.52,5.3,255.43,218.21,0,1028.89,137.57,559,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,54
54.27,5.3,213.15,212.67,0,1045.03,131.83,559,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,54.8
54.26,5.29,234.38,221.26,0,952.8,145.18,559,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,55.6
54.29,5.3,244.27,207.41,0,1055.34,133.13,560,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,56.4
54.27,5.3,245.86,233.89,0,978.62,153.31,560,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,57.2
54.56,5.3,247.64,215.42,0,966.12,133.49,560,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,58
54.45,5.3,250,213.97,0,1001.07,129.84,560,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,58.8
54.39,5.3,251.84,201.59,0,917.05,144,560,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,59.6
54.34,5.3,253.34,206.08,0,957,134.71,560,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,60.4
54.54,5.29,252.78,215.49,0,1025.07,148.46,558,750.98,128,26.52,39.35,26.5,37.81,26.53,38.33,41.3705940247,1.9958950281,144.4474029541,0.1013,61.2
54.67,5.3,255.23,222.53,0,935.55,138.51,558,750.98,128,26.5,38.97,26.52,37.39,26.55,37.9,41.3705940247,1.9958952665,144.4963989258,0.0781,61.2
54.47,5.3,211.18,212.67,0,969.06,145.47,558,750.98,128,26.5,38.97,26.52,37.39,26.55,37.9,41.3705940247,1.9958952665,144.4963989258,0.0781,62.2
54.54,5.29,234.7,214.62,0,988.61,145.47,550,750.98,128,26.5,38.97,26.52,37.39,26.55,37.9,41.3705940247,1.9958952665,144.4963989258,0.0781,63.2
54.47,5.3,244.62,222.61,0,967.42,140.39,550,750.98,128,26.5,38.97,26.52,37.39,26.55,37.9,41.3705940247,1.9958952665,144.4963989258,0.0781,64.2
54.33,5.3,246.04,203.44,0,993.98,145.08,550,750.98,128,26.5,38.97,26.52,37.39,26.55,37.9,41.3705940247,1.9958952665,144.4963989258,0.0781,65.2
54.59,5.29,248.18,211.73,0,981.94,140.58,550,750.98,128,26.5,38.97,26.52,37.39,26.55,37.9,41.3705940247,1.9958952665,144.4963989258,0.0781,66.2
54.78,5.3,250,215.06,0,1073.35,146.06,550,750.98,128,26.5,38.97,26.52,37.39,26.55,37.9,41.3705940247,1.9958952665,144.4963989258,0.0781,67.2
54.54,5.3,252.22,209.95,0,938.72,136.97,550,750.98,128,26.5,38.97,26.52,37.39,26.55,37.9,41.3705940247,1.9958952665,144.4963989258,0.0781,68.2
54.42,5.3,251.84,219.1,0,972.35,133.72,555,750.98,128,26.5,38.97,26.52,37.39,26.55,37.9,41.3705940247,1.9958952665,144.4963989258,0.0781,69.2
