SGP1,SGP2,ENS1,ENS2,ENS3,ENS4,BME,SCD,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
47.19,6.04,193.79,164.6,0,709.3,119.46,445,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,17
46.88,6.04,162.49,174.64,0,686.86,119.06,445,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,18
46.88,6.03,176.25,161.46,0,720.43,120.6,445,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,19
47.13,6.04,183.45,164.1,0,678.08,120.68,447,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,20
47,6.03,184.64,161.67,0,684.07,106.66,447,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,21
47.06,6.03,185.04,171.54,0,701.9,115.21,447,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,22
47.11,6.03,187.07,173.82,0,692.93,112.44,447,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,23
47.3,6.02,191.51,170.56,0,707.86,113.78,447,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,24
47.4,6.02,192.92,165.61,0,673.5,116.35,447,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,25
47.14,6.02,194.34,164.82,0,721.4,107.6,447,21.19,50.95,21.19,51.07,21.2,50.49,21.22,51.26,41.3695755005,1.9969770908,145.2308959961,0.0141,26
47.6,6,195.35,172,0,750.54,120.48,449,21.19,50.02,21.23,49.94,21.2,49.25,21.22,49.9,41.3695755005,1.9969773293,145.2658996582,0.0141,26
47.43,6,163.26,160.53,0,665.12,115.57,449,21.19,50.02,21.23,49.94,21.2,49.25,21.22,49.9,41.3695755005,1.9969773293,145.2658996582,0.0141,27
47.51,6,177.16,168.09,0,730.25,113.47,449,21.19,50.02,21.23,49.94,21.2,49.25,21.22,49.9,41.3695755005,1.9969773293,145.2658996582,0.0141,28
47.57,6,184.24,174.29,0,684.77,110.55,449,21.19,50.02,21.23,49.94,21.2,49.25,21.22,49.9,41.3695755005,1.9969773293,145.2658996582,0.0141,29
47.56,5.99,185.44,166.39,0,710.98,116.59,452,21.19,50.02,21.23,49.94,21.2,49.25,21.22,49.9,41.3695755005,1.9969773293,145.2658996582,0.0141,30
