SGP1,SGP2,ENS1,ENS2,ENS3,ENS4,BME,SCD,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
54.47,5.73,219.18,191.81,0,986.94,126.03,443,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,0
54.52,5.73,184.04,193.44,0,872.25,129.79,443,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,1
54.38,5.73,202.77,198.88,0,896.79,117.1,443,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,2
54.4,5.73,210.27,188.53,0,905.33,125.94,443,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,3
54.61,5.73,211.83,194.36,0,869.59,127.53,443,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,4
54.52,5.73,212.23,207.83,0,905.64,122.87,443,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,5
54.78,5.73,214.63,192.26,0,846.94,127.7,443,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,6
54.45,5.73,215.17,195.81,0,851.25,125.01,442,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,7
54.69,5.73,216.81,192.26,0,904.11,122.58,442,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,8
54.61,5.73,217.64,205.17,0,835.26,123.24,442,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,9
54.52,5.73,219.04,197.01,0,819.03,133.22,442,19.98,49.76,19.95,49.79,19.97,49.34,19.98,50.17,41.3701629639,1.9966242313,157.2987976074,1.1308,10
54.56,5.72,219.6,193.05,0,869.3,132.32,446,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,10
54.5,5.72,183.84,195.22,0,929.55,113.97,446,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,12
54.54,5.72,203.13,198.21,0,879.36,114.55,446,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,14
54.39,5.72,210.53,197.94,0,844.36,116.9,446,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,16
54.61,5.72,212.62,193.9,0,926.1,124.12,446,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,18
54.91,5.71,213.55,204,0,855,125.86,441,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,20
54.78,5.71,213.15,200.1,0,872.54,122.04,441,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,22
54.54,5.72,217.36,198.75,0,850.67,126.28,441,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,24
54.67,5.71,216.12,202.14,0,868.42,115.88,441,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,26
54.71,5.71,217.09,206.29,0,875.2,125.26,441,20,49.96,19.97,50.07,20.02,49.66,20.03,50.47,41.3701515198,1.9966260195,159.4226989746,1.0776,28
54.5,5.71,218.76,215.71,0,893.16,124.54,442,20.02,49.98,19.98,50.04,19.97,49.71,20.03,50.5,41.3701477051,1.9966195822,156.9965057373,0.9408,28
54.71,5.71,186.05,199.29,0,846.08,119.54,442,20.02,49.98,19.98,50.04,19.97,49.71,20.03,50.5,41.3701477051,1.9966195822,156.9965057373,0.9408,29.3333333333333
54.81,5.71,204.47,198.08,0,860.81,124.33,442,20.02,49.98,19.98,50.04,19.97,49.71,20.03,50.5,41.3701477051,1.9966195822,156.9965057373,0.9408,30.6666666666667
54.9,5.72,211.31,198.34,0,914.88,121.58,442,20.02,49.98,19.98,50.04,19.97,49.71,20.03,50.5,41.3701477051,1.9966195822,156.9965057373,0.9408,32
54.8,5.71,216.81,199.96,0,863.73,122.41,438,20.02,49.98,19.98,50.04,19.97,49.71,20.03,50.5,41.3701477051,1.9966195822,156.9965057373,0.9408,33.3333333333333
54.54,5.71,216.26,196.41,0,926.1,121.01,438,20.02,49.98,19.98,50.04,19.97,49.71,20.03,50.5,41.3701477051,1.9966195822,156.9965057373,0.9408,34.6666666666667
54.58,5.7,217.78,197.61,0,890.14,125.01,437,20.02,50.03,20,50.16,20.02,49.85,20.06,50.68,41.3701438904,1.9966025352,155.6531982422,1.0006,34.6666666666667
54.75,5.7,183.64,199.22,0,893.76,123.16,437,20.02,50.03,20,50.16,20.02,49.85,20.06,50.68,41.3701438904,1.9966025352,155.6531982422,1.0006,36.0666666666667
