TGS2600,TGS2602,TGS2611,TGS2620,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
28.45,27.2,17.49,36.97,36.84,41.13,36.95,38.39,37.08,36.45,36.77,41.13,41.3705940247,1.9958726168,145.8571929932,0.0141,30
28.37,27.02,17.43,36.68,36.84,41.13,36.95,38.39,37.08,36.45,36.77,41.13,41.3705940247,1.9958726168,145.8571929932,0.0141,31
28.33,26.9,17.38,36.61,36.84,41.13,36.95,38.39,37.08,36.45,36.77,41.13,41.3705940247,1.9958726168,145.8571929932,0.0141,32
27.73,26.99,17.43,36.32,36.84,41.13,36.95,38.39,37.08,36.45,36.77,41.13,41.3705940247,1.9958726168,145.8571929932,0.0141,33
28.29,27.27,17.51,36.6,36.84,41.13,36.95,38.39,37.08,36.45,36.77,41.13,41.3705940247,1.9958726168,145.8571929932,0.0141,34
28.25,27.2,17.53,36.74,36.84,41.13,36.95,38.39,37.08,36.45,36.77,41.13,41.3705940247,1.9958726168,145.8571929932,0.0141,35
28.45,27.12,17.49,36.81,36.84,41.13,36.95,38.39,37.08,36.45,36.77,41.13,41.3705940247,1.9958726168,145.8571929932,0.0141,36
28.55,27.19,17.51,36.68,36.84,41.13,36.95,38.39,37.08,36.45,36.77,41.13,41.3705940247,1.9958726168,145.8571929932,0.0141,37
28.32,27.2,17.5,36.2,36.86,41.2,36.95,38.39,37.11,36.5,36.78,41.2,41.3705978394,1.9958726168,145.8352966309,0.0146,37
27.8,27.02,17.38,36.31,36.86,41.2,36.95,38.39,37.11,36.5,36.78,41.2,41.3705978394,1.9958726168,145.8352966309,0.0146,38
27.73,26.82,17.4,36.28,36.86,41.2,36.95,38.39,37.11,36.5,36.78,41.2,41.3705978394,1.9958726168,145.8352966309,0.0146,39
28.07,26.95,17.48,36.34,36.86,41.2,36.95,38.39,37.11,36.5,36.78,41.2,41.3705978394,1.9958726168,145.8352966309,0.0146,40
27.58,26.73,17.34,36.09,36.86,41.2,36.95,38.39,37.11,36.5,36.78,41.2,41.3705978394,1.9958726168,145.8352966309,0.0146,41
27.38,26.68,17.32,35.8,36.86,41.2,36.95,38.39,37.11,36.5,36.78,41.2,41.3705978394,1.9958726168,145.8352966309,0.0146,42
27.5,26.64,17.34,35.67,36.86,41.2,36.95,38.39,37.11,36.5,36.78,41.2,41.3705978394,1.9958726168,145.8352966309,0.0146,43
28.15,26.52,17.29,35.84,36.86,41.2,36.95,38.39,37.11,36.5,36.78,41.2,41.3705978394,1.9958726168,145.8352966309,0.0146,44
27.63,26.53,17.31,35.61,36.89,41.1,36.98,38.29,37.11,36.34,36.8,41.1,41.3705940247,1.995872736,145.8386993408,0.0141,44
27.74,26.81,17.46,36.07,36.89,41.1,36.98,38.29,37.11,36.34,36.8,41.1,41.3705940247,1.995872736,145.8386993408,0.0141,37.75
28.03,26.87,17.4,35.84,36.89,41.1,36.98,38.29,37.11,36.34,36.8,41.1,41.3705940247,1.995872736,145.8386993408,0.0141,31.5
27.68,26.61,17.25,35.72,36.89,41.1,36.98,38.29,37.11,36.34,36.8,41.1,41.3705940247,1.995872736,145.8386993408,0.0141,25.25
27.68,26.67,17.32,35.69,36.89,41.1,36.98,38.29,37.11,36.34,36.8,41.1,41.3705940247,1.995872736,145.8386993408,0.0141,19
28.31,26.88,17.44,35.8,36.89,41.1,36.98,38.29,37.11,36.34,36.8,41.1,41.3705940247,1.995872736,145.8386993408,0.0141,12.75
28.23,26.77,17.41,36.03,36.89,41.1,36.98,38.29,37.11,36.34,36.8,41.1,41.3705940247,1.995872736,145.8386993408,0.0141,6.5
28.24,26.67,17.39,36.11,36.89,41.1,36.98,38.29,37.11,36.34,36.8,41.1,41.3705940247,1.995872736,145.8386993408,0.0141,0.25
27.94,26.68,17.39,35.92,36.89,41.06,36.97,38.13,37.12,36.25,36.81,41.06,41.3705940247,1.995872736,145.8186950684,0.0141,0.25
27.24,26.52,17.26,35.95,36.89,41.06,36.97,38.13,37.12,36.25,36.81,41.06,41.3705940247,1.995872736,145.8186950684,0.0141,8.75
27.63,26.64,17.29,35.84,36.89,41.06,36.97,38.13,37.12,36.25,36.81,41.06,41.3705940247,1.995872736,145.8186950684,0.0141,17.25
28.22,26.74,17.42,36.06,36.89,41.06,36.97,38.13,37.12,36.25,36.81,41.06,41.3705940247,1.995872736,145.8186950684,0.0141,25.75
28.33,26.79,17.41,36.15,36.89,41.06,36.97,38.13,37.12,36.25,36.81,41.06,41.3705940247,1.995872736,145.8186950684,0.0141,34.25
27.47,26.58,17.32,36.68,36.89,41.06,36.97,38.13,37.12,36.25,36.81,41.06,41.3705940247,1.995872736,145.8186950684,0.0141,42.75
