SGP1,SGP2,ENS1,ENS2,ENS3,ENS4,BME,SCD,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
54.59,5.35,235.84,205.03,0,983.27,141.78,483,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,37
54.45,5.35,201.57,199.96,0,986.94,132.32,487,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,38
54.54,5.35,220.31,213.46,0,1018.84,141.16,487,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,39
54.58,5.35,228.72,220.88,0,1004.12,133.26,487,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,40
54.26,5.35,228.72,207.83,0,952.8,130.81,487,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,41
54.39,5.35,231.36,209.59,0,977.63,151.45,487,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,42
54.23,5.34,232.3,209.1,0,978.29,140.39,487,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,43
54.28,5.35,232.46,194.75,0,1021.26,138.46,482,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,44
54.54,5.35,234.7,204.55,0,969.06,133.31,482,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,45
54.43,5.35,234.86,204,0,957.65,141.01,482,25.41,42.22,25.36,41.76,25.39,40,25.42,40.42,41.3705978394,1.9958618879,143.5220947266,0.0944,46
54.45,5.35,235.84,212.96,0,980.61,137.25,487,25.44,42.17,25.41,41.65,25.44,39.98,25.44,40.41,41.3705940247,1.9958568811,144.029006958,0.0802,46
54.32,5.35,199.22,206.78,0,964.15,150.18,487,25.44,42.17,25.41,41.65,25.44,39.98,25.44,40.41,41.3705940247,1.9958568811,144.029006958,0.0802,46.8888888888889
54.56,5.35,219.6,201.05,0,977.96,132.36,487,25.44,42.17,25.41,41.65,25.44,39.98,25.44,40.41,41.3705940247,1.9958568811,144.029006958,0.0802,47.7777777777778
54.59,5.35,227.66,197.88,0,962.2,136.09,487,25.44,42.17,25.41,41.65,25.44,39.98,25.44,40.41,41.3705940247,1.9958568811,144.029006958,0.0802,48.6666666666667
54.28,5.35,228.72,197.88,0,960.9,136.32,487,25.44,42.17,25.41,41.65,25.44,39.98,25.44,40.41,41.3705940247,1.9958568811,144.029006958,0.0802,49.5555555555556
54.57,5.35,227.66,206.99,0,978.29,145.37,487,25.44,42.17,25.41,41.65,25.44,39.98,25.44,40.41,41.3705940247,1.9958568811,144.029006958,0.0802,50.4444444444444
54.44,5.35,231.52,217.1,0,968.41,147.85,487,25.44,42.17,25.41,41.65,25.44,39.98,25.44,40.41,41.3705940247,1.9958568811,144.029006958,0.0802,51.3333333333333
54.52,5.35,233.1,200.1,0,944.45,132.32,487,25.44,42.17,25.41,41.65,25.44,39.98,25.44,40.41,41.3705940247,1.9958568811,144.029006958,0.0802,52.2222222222222
54.56,5.34,233.42,215.06,0,920.47,148.06,487,25.44,42.17,25.41,41.65,25.44,39.98,25.44,40.41,41.3705940247,1.9958568811,144.029006958,0.0802,53.1111111111111
54.61,5.35,233.9,222.16,0,1024.72,139.4,490,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,53.1111111111111
54.54,5.35,199.69,207.9,0,910.86,140.54,490,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,54.1111111111111
54.54,5.34,218.48,222.08,0,989.28,143.18,490,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,55.1111111111111
54.46,5.35,227.2,219.91,0,982.27,148.46,490,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,56.1111111111111
54.42,5.35,228.42,213.17,0,974.32,130.06,490,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,57.1111111111111
54.45,5.35,230.42,200.1,0,1010.94,140.68,490,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,58.1111111111111
54.49,5.35,231.67,208.75,0,985.93,135.58,490,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,59.1111111111111
54.41,5.35,232.62,201.32,0,937.13,130.72,491,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,60.1111111111111
54.37,5.35,233.42,215.27,0,966.12,132.95,491,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,61.1111111111111
54.54,5.34,233.58,209.1,0,1056.41,147.66,491,25.44,42.27,25.41,41.8,25.44,40.06,25.45,40.56,41.3705940247,1.9958567619,144.121307373,0.0843,62.1111111111111
54.47,5.34,235.51,206.08,0,963.18,132.68,489,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,62.1111111111111
54.46,5.35,198.87,203.03,0,1008.21,140.39,489,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,63.1111111111111
54.38,5.35,219.04,211.81,0,1019.53,130.58,489,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,64.1111111111111
54.43,5.35,227.05,210.09,0,972.35,133.31,489,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,65.1111111111111
54.43,5.35,227.81,211.59,0,962.2,144.69,489,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,66.1111111111111
54.33,5.35,229.65,217.91,0,970.38,142.35,489,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,67.1111111111111
54.21,5.35,230.73,208.32,0,986.94,130.32,489,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,68.1111111111111
54.25,5.35,232.62,206.5,0,980.28,142.11,490,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,69.1111111111111
54.38,5.34,233.1,208.75,0,961.22,134.49,490,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,70.1111111111111
54.17,5.34,233.9,204.69,0,1030.98,147.01,490,25.44,42.19,25.44,41.68,25.45,40,25.48,40.47,41.3705940247,1.9958580732,144.213104248,0.0785,71.1111111111111
54.37,5.34,235.35,199.22,0,1065.03,128.13,489,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,71.1111111111111
54.23,5.34,199.1,209.74,0,880.55,139.97,489,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,72.1111111111111
54.26,5.34,218.34,197.61,0,945.09,135.68,489,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,73.1111111111111
54.24,5.34,226.9,202,0,1012.99,139.07,489,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,74.1111111111111
54.38,5.34,227.51,206.01,0,980.61,146.26,489,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,75.1111111111111
54.52,5.34,229.34,199.02,0,983.27,135.45,487,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,76.1111111111111
54.33,5.34,229.8,211.73,0,912.4,139.02,487,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,77.1111111111111
54.32,5.34,231.36,213.17,0,958.3,134.53,487,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,78.1111111111111
54.47,5.33,232.15,214.4,0,922.03,136.97,487,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,79.1111111111111
54.47,5.33,230.58,206.92,0,921.09,135.45,487,25.47,42.21,25.45,41.75,25.47,40.03,25.47,40.5,41.3705940247,1.9958585501,144.1761016846,0.0814,80.1111111111111
54.34,5.34,234.54,203.51,0,959.27,142.84,491,25.48,42.2,25.45,41.73,25.48,40.06,25.53,40.53,41.3705940247,1.9958587885,144.2234954834,0.0746,80.1111111111111
54.48,5.34,198.07,214.62,0,954.09,125.51,491,25.48,42.2,25.45,41.73,25.48,40.06,25.53,40.53,41.3705940247,1.9958587885,144.2234954834,0.0746,81.1111111111111
