H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
0.28,-0.23,0.18,25,2.09,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,32
0.28,-0.23,0.18,25,2.09,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,33
0.28,-0.23,0.18,25,2,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,34
0.37,-0.21,0.18,25,2.09,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,35
0.47,-0.21,0.18,25,2.09,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,36
0.47,-0.21,0.18,26,2.18,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,37
0.18,-0.21,0.18,25,2.09,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,38
0.47,-0.17,0.19,24,2.18,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,39
0.56,-0.21,0.19,25,2.18,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,40
0.37,-0.23,0.18,26,2.27,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,41
0.56,-0.19,0.18,25,2.09,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,42
0.37,-0.21,0.18,25,2.09,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,43
0.28,-0.21,0.18,25,2.18,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,44
0.28,-0.23,0.18,25,2.09,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,45
0.37,-0.23,0.18,25,2.18,27.28,37.13,27.42,42.21,41.3705978394,1.995860219,144.5126953125,0.071,46
0.28,-0.25,0.18,26,2.18,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,46
0.37,-0.25,0.18,25,2.09,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,46.7142857142857
0.28,-0.21,0.18,25,2.09,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,47.4285714285714
0.18,-0.21,0.18,25,2.09,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,48.1428571428571
0.28,-0.25,0.18,25,2.18,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,48.8571428571429
0.28,-0.23,0.18,25,2.18,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,49.5714285714286
0.28,-0.23,0.18,25,2.09,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,50.2857142857143
0.37,-0.21,0.18,25,2.18,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,51
0.37,-0.21,0.18,25,2.18,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,51.7142857142857
0.18,-0.23,0.17,24,2.09,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,52.4285714285714
0.08,-0.21,0.18,25,2.09,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,53.1428571428571
0.08,-0.23,0.17,24,2.09,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,53.8571428571429
0.08,-0.27,0.18,26,2.18,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,54.5714285714286
0.47,-0.21,0.19,24,2.09,27.31,36.91,27.45,42.03,41.3705978394,1.9958603382,144.5428924561,0.0653,55.2857142857143
0.28,-0.25,0.18,25,2.09,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,55.2857142857143
0.28,-0.25,0.17,25,2.18,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,56.4857142857143
0.37,-0.25,0.18,25,2.09,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,57.6857142857143
0.18,-0.25,0.18,25,2.09,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,58.8857142857143
0.28,-0.25,0.18,26,2.27,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,60.0857142857143
0.28,-0.27,0.18,26,2.27,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,61.2857142857143
0.28,-0.27,0.18,25,2.09,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,62.4857142857143
0.08,-0.25,0.18,26,2.27,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,63.6857142857143
0.28,-0.21,0.18,25,2.09,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,64.8857142857143
0.08,-0.25,0.17,25,2.09,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,66.0857142857143
0.18,-0.25,0.17,25,2,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,67.2857142857143
0.37,-0.21,0.18,26,2.18,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,68.4857142857143
0.37,-0.19,0.18,24,2.18,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,69.6857142857143
0.28,-0.21,0.17,25,2.09,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,70.8857142857143
0.37,-0.23,0.18,25,2,27.3,36.81,27.5,41.94,41.3705978394,1.9958600998,144.5240936279,0.0707,72.0857142857143
0.37,-0.17,0.18,24,2.09,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,72.0857142857143
0.37,-0.25,0.18,25,2.18,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,72.6571428571428
0.37,-0.25,0.18,24,2.09,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,73.2285714285714
0.47,-0.17,0.18,24,2.09,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,73.8
0.47,-0.23,0.18,27,2.18,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,74.3714285714286
0.28,-0.21,0.18,25,2.09,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,74.9428571428571
0.37,-0.21,0.17,25,2.09,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,75.5142857142857
0.28,-0.23,0.18,25,2.18,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,76.0857142857143
0.37,-0.21,0.18,24,2,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,76.6571428571428
0.08,-0.23,0.17,25,2.09,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,77.2285714285714
0.08,-0.23,0.18,25,2.09,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,77.8
0.28,-0.23,0.18,24,2.09,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,78.3714285714286
0.28,-0.25,0.18,25,2.18,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,78.9428571428571
0.47,-0.25,0.18,26,2.18,27.31,36.74,27.52,41.86,41.3705978394,1.9958603382,144.5229949951,0.0665,79.5142857142857
0.47,-0.23,0.18,24,2.09,27.31,36.83,27.5,41.88,41.3705978394,1.9958603382,144.5989074707,0.0806,79.5142857142857
0.18,-0.23,0.18,24,2.18,27.31,36.83,27.5,41.88,41.3705978394,1.9958603382,144.5989074707,0.0806,80.1809523809524
