H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
0.37,-0.21,0.18,24,2.18,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,45
0.37,-0.23,0.18,24,2.18,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,46
0.37,-0.19,0.18,25,2.09,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,47
0.37,-0.23,0.18,27,2.18,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,48
0.37,-0.17,0.18,26,2.09,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,49
0.37,-0.23,0.18,25,2.09,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,50
0.28,-0.19,0.18,25,2.18,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,51
0.56,-0.19,0.18,25,2.18,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,52
0.47,-0.21,0.18,26,2.18,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,53
0.28,-0.21,0.18,25,2.18,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,54
0.28,-0.19,0.18,25,2.09,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,55
0.28,-0.25,0.18,25,2.18,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,56
0.28,-0.17,0.18,25,2.09,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,57
0.18,-0.23,0.18,25,2.18,25.72,39.54,25.91,44.12,41.3705940247,1.9958943129,144.3280944824,0.0794,58
0.18,-0.23,0.18,26,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,58
0.18,-0.23,0.18,26,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,58.6666666666667
0.28,-0.23,0.18,26,2.09,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,59.3333333333333
0.37,-0.19,0.18,25,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,60
0.28,-0.21,0.18,25,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,60.6666666666667
0.28,-0.19,0.18,25,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,61.3333333333333
0.28,-0.21,0.18,26,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,62
0.08,-0.21,0.18,26,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,62.6666666666667
0.18,-0.19,0.18,26,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,63.3333333333333
0.18,-0.23,0.18,27,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,64
0.47,-0.23,0.18,25,2.27,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,64.6666666666667
0.37,-0.14,0.18,25,2.18,25.7,39.54,25.91,44.17,41.3705940247,1.9958941936,144.4857025146,0.0986,65.3333333333333
