TGS2600,TGS2602,TGS2611,TGS2620,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
27.92,26.09,15.81,38.22,35.61,42.07,35.69,39.34,35.81,37.39,35.52,42.07,41.3705940247,1.995893836,144.44140625,0.0754,45
28,26.04,15.75,38.23,35.61,42.07,35.69,39.34,35.81,37.39,35.52,42.07,41.3705940247,1.995893836,144.44140625,0.0754,46
27.51,25.9,15.85,38.1,35.61,42.07,35.69,39.34,35.81,37.39,35.52,42.07,41.3705940247,1.995893836,144.44140625,0.0754,47
27.34,25.91,15.88,38.3,35.61,42.07,35.69,39.34,35.81,37.39,35.52,42.07,41.3705940247,1.995893836,144.44140625,0.0754,48
27.7,26.18,15.95,38.55,35.61,42.07,35.69,39.34,35.81,37.39,35.52,42.07,41.3705940247,1.995893836,144.44140625,0.0754,49
27.77,26.11,15.93,38.58,35.61,42.07,35.69,39.34,35.81,37.39,35.52,42.07,41.3705940247,1.995893836,144.44140625,0.0754,50
27.78,26.09,15.93,38.51,35.61,42.07,35.69,39.34,35.81,37.39,35.52,42.07,41.3705940247,1.995893836,144.44140625,0.0754,51
27.38,25.92,15.83,38.34,35.61,42.07,35.69,39.34,35.81,37.39,35.52,42.07,41.3705940247,1.995893836,144.44140625,0.0754,52
27.66,25.89,15.87,38.6,35.59,42.09,35.69,39.38,35.81,37.37,35.55,42.09,41.3705940247,1.9958943129,144.5148925781,0.101,52
27.6,25.97,15.89,38.68,35.59,42.09,35.69,39.38,35.81,37.37,35.55,42.09,41.3705940247,1.9958943129,144.5148925781,0.101,53
27.56,25.84,15.85,38.83,35.59,42.09,35.69,39.38,35.81,37.37,35.55,42.09,41.3705940247,1.9958943129,144.5148925781,0.101,54
28.2,26.23,15.87,38.37,35.59,42.09,35.69,39.38,35.81,37.37,35.55,42.09,41.3705940247,1.9958943129,144.5148925781,0.101,55
28.06,26.2,15.97,38.72,35.59,42.09,35.69,39.38,35.81,37.37,35.55,42.09,41.3705940247,1.9958943129,144.5148925781,0.101,56
28.07,26.12,15.95,38.76,35.59,42.09,35.69,39.38,35.81,37.37,35.55,42.09,41.3705940247,1.9958943129,144.5148925781,0.101,57
27.93,25.88,15.89,38.52,35.59,42.09,35.69,39.38,35.81,37.37,35.55,42.09,41.3705940247,1.9958943129,144.5148925781,0.101,58
27.44,26.06,16.02,38.71,35.59,42.09,35.69,39.38,35.81,37.37,35.55,42.09,41.3705940247,1.9958943129,144.5148925781,0.101,59
27.59,26.12,16,38.71,35.62,41.97,35.7,39.12,35.83,37.13,35.53,41.97,41.3705940247,1.9958951473,144.4833984375,0.0769,59
27.59,26.12,15.97,38.53,35.62,41.97,35.7,39.12,35.83,37.13,35.53,41.97,41.3705940247,1.9958951473,144.4833984375,0.0769,60.1111111111111
28.08,26.2,16,38.46,35.62,41.97,35.7,39.12,35.83,37.13,35.53,41.97,41.3705940247,1.9958951473,144.4833984375,0.0769,61.2222222222222
27.35,25.99,15.88,38.26,35.62,41.97,35.7,39.12,35.83,37.13,35.53,41.97,41.3705940247,1.9958951473,144.4833984375,0.0769,62.3333333333333
28.15,26.21,15.93,38.51,35.62,41.97,35.7,39.12,35.83,37.13,35.53,41.97,41.3705940247,1.9958951473,144.4833984375,0.0769,63.4444444444444
27.97,26.14,16.02,38.59,35.62,41.97,35.7,39.12,35.83,37.13,35.53,41.97,41.3705940247,1.9958951473,144.4833984375,0.0769,64.5555555555556
