H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
-0.49,-0.29,0.08,26,2.18,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,17
-0.11,-0.29,0.08,27,2.27,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,18
-0.4,-0.29,0.1,27,2.27,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,19
-0.4,-0.29,0.09,26,2.27,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,20
-0.21,-0.27,0.1,26,2.18,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,21
-0.21,-0.27,0.1,26,2.18,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,22
-0.11,-0.23,0.11,28,2.36,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,23
-0.11,-0.29,0.1,27,2.36,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,24
-0.11,-0.27,0.11,26,2.27,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,25
-0.3,-0.27,0.11,26,2.18,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,26
-0.11,-0.27,0.12,27,2.27,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,27
-0.11,-0.27,0.12,26,2.18,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,28
-0.3,-0.31,0.12,26,2.18,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,29
-0.11,-0.23,0.13,28,2.36,21.25,50.94,20.55,55.32,41.3695755005,1.9969770908,145.2344055176,0.0141,30
-0.01,-0.29,0.13,26,2.27,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,30
0.08,-0.27,0.14,27,2.27,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,30.6666666666667
-0.21,-0.27,0.15,27,2.36,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,31.3333333333333
-0.21,-0.27,0.15,28,2.36,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,32
-0.21,-0.31,0.15,27,2.27,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,32.6666666666667
0.08,-0.27,0.15,27,2.36,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,33.3333333333333
-0.11,-0.29,0.16,26,2.27,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,34
-0.21,-0.31,0.15,27,2.18,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,34.6666666666667
-0.01,-0.31,0.15,28,2.36,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,35.3333333333333
-0.21,-0.31,0.16,26,2.27,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,36
-0.21,-0.27,0.16,28,2.36,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,36.6666666666667
-0.21,-0.29,0.15,26,2.27,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,37.3333333333333
0.08,-0.23,0.16,27,2.27,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,38
0.08,-0.29,0.17,26,2.27,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,38.6666666666667
-0.01,-0.29,0.16,26,2.18,21.3,51.03,20.56,55.46,41.3695755005,1.99697721,145.2328033447,0.0141,39.3333333333333
-0.01,-0.29,0.17,27,2.18,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,39.3333333333333
-0.11,-0.27,0.16,28,2.27,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,40.0476190476191
-0.01,-0.27,0.17,26,2.27,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,40.7619047619048
-0.11,-0.25,0.17,27,2.18,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,41.4761904761905
-0.01,-0.27,0.17,26,2.18,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,42.1904761904762
-0.01,-0.29,0.18,27,2.18,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,42.9047619047619
0.08,-0.27,0.18,26,2.27,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,43.6190476190476
-0.01,-0.29,0.18,26,2.18,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,44.3333333333333
-0.21,-0.29,0.17,26,2.27,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,45.0476190476191
-0.11,-0.35,0.18,27,2.36,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,45.7619047619048
0.08,-0.19,0.18,29,2.18,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,46.4761904761905
-0.21,-0.25,0.18,26,2.27,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,47.1904761904762
-0.01,-0.27,0.18,26,2.18,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,47.9047619047619
-0.01,-0.27,0.18,26,2.18,21.31,50.1,20.56,54.78,41.3695755005,1.9969773293,145.2830963135,0.0141,48.6190476190476
-0.01,-0.29,0.18,27,2.27,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,48.6190476190476
-0.11,-0.29,0.18,27,2.36,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,45.2857142857143
-0.01,-0.25,0.19,26,2.27,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,41.952380952381
0.08,-0.23,0.19,28,2.27,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,38.6190476190476
0.18,-0.27,0.19,27,2.27,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,35.2857142857143
-0.21,-0.27,0.18,27,2.27,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,31.952380952381
-0.21,-0.27,0.18,27,2.09,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,28.6190476190476
-0.01,-0.27,0.19,27,2.27,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,25.2857142857143
-0.11,-0.27,0.18,26,2.09,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,21.952380952381
0.08,-0.27,0.18,26,2.18,21.31,50.65,20.55,55.13,41.3695755005,1.9969750643,146.1564941406,0.3973,18.6190476190476
