H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
0.47,-0.21,0.18,25,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,14
0.28,-0.21,0.18,24,2,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,15
0.47,-0.25,0.17,25,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,16
0.28,-0.21,0.17,25,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,17
0.47,-0.23,0.17,25,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,18
0.18,-0.19,0.17,26,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,19
0.28,-0.23,0.17,24,2,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,20
0.18,-0.21,0.17,24,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,21
0.37,-0.23,0.17,24,2,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,22
0.08,-0.25,0.17,25,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,23
0.37,-0.23,0.18,24,2,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,24
0.37,-0.23,0.18,24,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,25
0.28,-0.23,0.17,23,2,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,26
0.47,-0.21,0.17,23,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,27
0.08,-0.19,0.17,24,2.09,32.73,29.45,32.23,36.35,41.3695030212,1.9970575571,142.2335968018,0.3085,28
0.37,-0.17,0.17,24,2.09,32.7,29.45,32.23,36.35,41.3694992065,1.9970548153,142.9839935303,0.2628,28
