TGS2600,TGS2602,TGS2611,TGS2620,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
0.01,30.76,14.09,44.31,25.44,49.57,25.45,49.04,25.58,47.69,25.34,49.57,41.3701629639,1.9966243505,156.6459960938,1.162,0
0.01,30.91,14.06,44.15,25.44,49.57,25.45,49.04,25.58,47.69,25.34,49.57,41.3701629639,1.9966243505,156.6459960938,1.162,1
0.01,31.16,14.09,44.63,25.44,49.57,25.45,49.04,25.58,47.69,25.34,49.57,41.3701629639,1.9966243505,156.6459960938,1.162,2
0.01,31.01,14.13,44.77,25.44,49.57,25.45,49.04,25.58,47.69,25.34,49.57,41.3701629639,1.9966243505,156.6459960938,1.162,3
0.01,31.23,14.14,44.56,25.44,49.57,25.45,49.04,25.58,47.69,25.34,49.57,41.3701629639,1.9966243505,156.6459960938,1.162,4
0.01,31.04,14.06,44.26,25.44,49.57,25.45,49.04,25.58,47.69,25.34,49.57,41.3701629639,1.9966243505,156.6459960938,1.162,5
0.01,30.81,14.07,44.47,25.44,49.57,25.45,49.04,25.58,47.69,25.34,49.57,41.3701629639,1.9966243505,156.6459960938,1.162,6
0.01,31.08,14.12,44.53,25.44,49.57,25.45,49.04,25.58,47.69,25.34,49.57,41.3701629639,1.9966243505,156.6459960938,1.162,7
0.01,30.89,14.03,44.27,25.44,49.57,25.45,49.04,25.58,47.69,25.34,49.57,41.3701629639,1.9966243505,156.6459960938,1.162,8
0.01,31.06,14.11,44.67,25.5,49.48,25.48,48.8,25.64,47.44,25.41,49.48,41.3701591492,1.9966263771,158.1139984131,1.0793,8
0.01,30.83,14.05,44.34,25.5,49.48,25.48,48.8,25.64,47.44,25.41,49.48,41.3701591492,1.9966263771,158.1139984131,1.0793,9.11111111111111
0.01,30.99,14.04,44.12,25.5,49.48,25.48,48.8,25.64,47.44,25.41,49.48,41.3701591492,1.9966263771,158.1139984131,1.0793,10.2222222222222
0.01,30.97,14.13,44.86,25.5,49.48,25.48,48.8,25.64,47.44,25.41,49.48,41.3701591492,1.9966263771,158.1139984131,1.0793,11.3333333333333
0.01,31.16,14.12,44.59,25.5,49.48,25.48,48.8,25.64,47.44,25.41,49.48,41.3701591492,1.9966263771,158.1139984131,1.0793,12.4444444444444
0.01,31,14.05,44.34,25.5,49.48,25.48,48.8,25.64,47.44,25.41,49.48,41.3701591492,1.9966263771,158.1139984131,1.0793,13.5555555555556
0.01,30.88,14.06,44.15,25.5,49.48,25.48,48.8,25.64,47.44,25.41,49.48,41.3701591492,1.9966263771,158.1139984131,1.0793,14.6666666666667
0.01,30.9,14.09,44.13,25.5,49.48,25.48,48.8,25.64,47.44,25.41,49.48,41.3701591492,1.9966263771,158.1139984131,1.0793,15.7777777777778
0.01,31.24,14.12,44.71,25.5,49.48,25.48,48.8,25.64,47.44,25.41,49.48,41.3701591492,1.9966263771,158.1139984131,1.0793,16.8888888888889
0.01,31.21,14.15,44.46,25.53,49.49,25.55,48.92,25.69,47.61,25.45,49.49,41.3701515198,1.9966231585,159.2422027588,1.0315,16.8888888888889
0.01,31.12,14.15,44.59,25.53,49.49,25.55,48.92,25.69,47.61,25.45,49.49,41.3701515198,1.9966231585,159.2422027588,1.0315,18.8888888888889
0.01,31.08,14.12,44.53,25.53,49.49,25.55,48.92,25.69,47.61,25.45,49.49,41.3701515198,1.9966231585,159.2422027588,1.0315,20.8888888888889
0.01,30.89,14.07,44.27,25.53,49.49,25.55,48.92,25.69,47.61,25.45,49.49,41.3701515198,1.9966231585,159.2422027588,1.0315,22.8888888888889
0.01,30.79,14.09,44.18,25.53,49.49,25.55,48.92,25.69,47.61,25.45,49.49,41.3701515198,1.9966231585,159.2422027588,1.0315,24.8888888888889
0.01,30.75,14.09,44.08,25.53,49.49,25.55,48.92,25.69,47.61,25.45,49.49,41.3701515198,1.9966231585,159.2422027588,1.0315,26.8888888888889
0.01,31.08,14.12,44.58,25.53,49.49,25.55,48.92,25.69,47.61,25.45,49.49,41.3701515198,1.9966231585,159.2422027588,1.0315,28.8888888888889
0.01,30.8,14.07,44.33,25.53,49.49,25.55,48.92,25.69,47.61,25.45,49.49,41.3701515198,1.9966231585,159.2422027588,1.0315,30.8888888888889
0.01,30.64,14.12,44.59,25.66,49.46,25.64,49.12,25.83,47.87,25.61,49.46,41.3701515198,1.9965975285,156.2357940674,1.3191,30.8888888888889
0.01,30.99,14.13,44.45,25.66,49.46,25.64,49.12,25.83,47.87,25.61,49.46,41.3701515198,1.9965975285,156.2357940674,1.3191,34.6388888888889
0.01,30.97,14.1,43.8,25.66,49.46,25.64,49.12,25.83,47.87,25.61,49.46,41.3701515198,1.9965975285,156.2357940674,1.3191,38.3888888888889
0.01,30.98,14.1,44.46,25.66,49.46,25.64,49.12,25.83,47.87,25.61,49.46,41.3701515198,1.9965975285,156.2357940674,1.3191,42.1388888888889
0.01,30.88,14.15,44.57,25.66,49.46,25.64,49.12,25.83,47.87,25.61,49.46,41.3701515198,1.9965975285,156.2357940674,1.3191,45.8888888888889
0.01,30.67,14.11,44.15,25.66,49.46,25.64,49.12,25.83,47.87,25.61,49.46,41.3701515198,1.9965975285,156.2357940674,1.3191,49.6388888888889
0.01,30.55,14.1,44.01,25.66,49.46,25.64,49.12,25.83,47.87,25.61,49.46,41.3701515198,1.9965975285,156.2357940674,1.3191,53.3888888888889
0.01,30.9,14.14,44.6,25.66,49.46,25.64,49.12,25.83,47.87,25.61,49.46,41.3701515198,1.9965975285,156.2357940674,1.3191,57.1388888888889
0.01,30.62,14.06,44.04,25.69,49.43,25.72,48.94,25.88,47.74,25.62,49.43,41.3701591492,1.996584177,154.4508056641,1.2766,57.1388888888889
0.01,30.63,14.04,43.94,25.69,49.43,25.72,48.94,25.88,47.74,25.62,49.43,41.3701591492,1.996584177,154.4508056641,1.2766,58.1388888888889
0.01,30.68,14.08,44.45,25.69,49.43,25.72,48.94,25.88,47.74,25.62,49.43,41.3701591492,1.996584177,154.4508056641,1.2766,59.1388888888889
0.01,30.66,14.07,44.18,25.69,49.43,25.72,48.94,25.88,47.74,25.62,49.43,41.3701591492,1.996584177,154.4508056641,1.2766,60.1388888888889
0.01,30.88,14.15,44.68,25.69,49.43,25.72,48.94,25.88,47.74,25.62,49.43,41.3701591492,1.996584177,154.4508056641,1.2766,61.1388888888889
0.01,30.9,14.12,44.34,25.69,49.43,25.72,48.94,25.88,47.74,25.62,49.43,41.3701591492,1.996584177,154.4508056641,1.2766,62.1388888888889
0.01,31.01,14.13,43.97,25.69,49.43,25.72,48.94,25.88,47.74,25.62,49.43,41.3701591492,1.996584177,154.4508056641,1.2766,63.1388888888889
0.01,30.85,14.15,44.55,25.69,49.43,25.72,48.94,25.88,47.74,25.62,49.43,41.3701591492,1.996584177,154.4508056641,1.2766,64.1388888888889
0.01,30.69,14.06,44.04,25.75,49.32,25.7,48.81,25.91,47.58,25.67,49.32,41.3701477051,1.9965831041,156.0364990234,1.3328,64.1388888888889
0.01,30.7,14.09,44.65,25.75,49.32,25.7,48.81,25.91,47.58,25.67,49.32,41.3701477051,1.9965831041,156.0364990234,1.3328,65.1388888888889
0.01,30.64,14.08,44.5,25.75,49.32,25.7,48.81,25.91,47.58,25.67,49.32,41.3701477051,1.9965831041,156.0364990234,1.3328,66.1388888888889
0.01,30.83,14.05,43.82,25.75,49.32,25.7,48.81,25.91,47.58,25.67,49.32,41.3701477051,1.9965831041,156.0364990234,1.3328,67.1388888888889
0.01,30.76,14.08,43.95,25.75,49.32,25.7,48.81,25.91,47.58,25.67,49.32,41.3701477051,1.9965831041,156.0364990234,1.3328,68.1388888888889
0.01,30.78,14.15,44.42,25.75,49.32,25.7,48.81,25.91,47.58,25.67,49.32,41.3701477051,1.9965831041,156.0364990234,1.3328,69.1388888888889
0.01,30.92,14.12,44.58,25.75,49.32,25.7,48.81,25.91,47.58,25.67,49.32,41.3701477051,1.9965831041,156.0364990234,1.3328,70.1388888888889
0.01,30.92,14.14,44.37,25.75,49.32,25.7,48.81,25.91,47.58,25.67,49.32,41.3701477051,1.9965831041,156.0364990234,1.3328,71.1388888888889
0.01,30.75,14.11,44.55,25.77,49.33,25.75,48.96,25.91,47.69,25.67,49.33,41.3701438904,1.9965804815,155.9826965332,1.3508,71.1388888888889
0.01,30.67,14.14,44.62,25.77,49.33,25.75,48.96,25.91,47.69,25.67,49.33,41.3701438904,1.9965804815,155.9826965332,1.3508,72.1388888888889
0.01,30.83,14.12,44.35,25.77,49.33,25.75,48.96,25.91,47.69,25.67,49.33,41.3701438904,1.9965804815,155.9826965332,1.3508,73.1388888888889
0.01,30.76,14.13,44.58,25.77,49.33,25.75,48.96,25.91,47.69,25.67,49.33,41.3701438904,1.9965804815,155.9826965332,1.3508,74.1388888888889
0.01,31.05,14.12,44.38,25.77,49.33,25.75,48.96,25.91,47.69,25.67,49.33,41.3701438904,1.9965804815,155.9826965332,1.3508,75.1388888888889
0.01,30.85,14.06,44.36,25.77,49.33,25.75,48.96,25.91,47.69,25.67,49.33,41.3701438904,1.9965804815,155.9826965332,1.3508,76.1388888888889
0.01,30.73,14.05,43.81,25.77,49.33,25.75,48.96,25.91,47.69,25.67,49.33,41.3701438904,1.9965804815,155.9826965332,1.3508,77.1388888888889
0.01,30.75,14.07,44.07,25.77,49.33,25.75,48.96,25.91,47.69,25.67,49.33,41.3701438904,1.9965804815,155.9826965332,1.3508,78.1388888888889
0.01,30.66,14.07,43.9,25.81,49.33,25.8,48.92,25.95,47.76,25.73,49.33,41.3701515198,1.9965839386,154.5570983887,1.3203,78.1388888888889
0.01,30.63,14.1,43.83,25.81,49.33,25.8,48.92,25.95,47.76,25.73,49.33,41.3701515198,1.9965839386,154.5570983887,1.3203,79.1388888888889
0.01,30.57,14.12,44.21,25.81,49.33,25.8,48.92,25.95,47.76,25.73,49.33,41.3701515198,1.9965839386,154.5570983887,1.3203,80.1388888888889
0.01,30.68,14.09,43.55,25.81,49.33,25.8,48.92,25.95,47.76,25.73,49.33,41.3701515198,1.9965839386,154.5570983887,1.3203,81.1388888888889
0.01,30.67,14.09,43.72,25.81,49.33,25.8,48.92,25.95,47.76,25.73,49.33,41.3701515198,1.9965839386,154.5570983887,1.3203,82.1388888888889
0.01,30.92,14.17,44.33,25.81,49.33,25.8,48.92,25.95,47.76,25.73,49.33,41.3701515198,1.9965839386,154.5570983887,1.3203,83.1388888888889
0.01,30.75,14.14,43.95,25.81,49.33,25.8,48.92,25.95,47.76,25.73,49.33,41.3701515198,1.9965839386,154.5570983887,1.3203,84.1388888888889
0.01,30.67,14.11,43.37,25.81,49.33,25.8,48.92,25.95,47.76,25.73,49.33,41.3701515198,1.9965839386,154.5570983887,1.3203,85.1388888888889
0.01,30.72,14.16,43.86,25.81,49.28,25.86,48.95,25.95,47.75,25.73,49.28,41.3701553345,1.9965832233,154.0543060303,1.3699,85.1388888888889
0.01,30.87,14.12,43.44,25.81,49.28,25.86,48.95,25.95,47.75,25.73,49.28,41.3701553345,1.9965832233,154.0543060303,1.3699,86.1388888888889
0.01,30.65,14.07,43.38,25.81,49.28,25.86,48.95,25.95,47.75,25.73,49.28,41.3701553345,1.9965832233,154.0543060303,1.3699,87.1388888888889
0.01,30.87,14.16,43.69,25.81,49.28,25.86,48.95,25.95,47.75,25.73,49.28,41.3701553345,1.9965832233,154.0543060303,1.3699,88.1388888888889
0.01,30.83,14.07,43.22,25.81,49.28,25.86,48.95,25.95,47.75,25.73,49.28,41.3701553345,1.9965832233,154.0543060303,1.3699,89.1388888888889
0.01,30.5,14.08,43.25,25.81,49.28,25.86,48.95,25.95,47.75,25.73,49.28,41.3701553345,1.9965832233,154.0543060303,1.3699,90.1388888888889
0.01,30.53,14.04,43.17,25.81,49.28,25.86,48.95,25.95,47.75,25.73,49.28,41.3701553345,1.9965832233,154.0543060303,1.3699,91.1388888888889
0.01,30.81,14.06,42.93,25.81,49.28,25.86,48.95,25.95,47.75,25.73,49.28,41.3701553345,1.9965832233,154.0543060303,1.3699,92.1388888888889
0.01,30.81,14.12,43.29,25.86,49.32,25.86,48.99,25.98,47.8,25.8,49.32,41.3701553345,1.9965695143,152.9846954346,1.3611,92.1388888888889
0.01,30.87,14.13,43.08,25.86,49.32,25.86,48.99,25.98,47.8,25.8,49.32,41.3701553345,1.9965695143,152.9846954346,1.3611,93.3888888888889
0.01,30.79,14.1,42.79,25.86,49.32,25.86,48.99,25.98,47.8,25.8,49.32,41.3701553345,1.9965695143,152.9846954346,1.3611,94.6388888888889
0.01,30.86,14.12,42.75,25.86,49.32,25.86,48.99,25.98,47.8,25.8,49.32,41.3701553345,1.9965695143,152.9846954346,1.3611,95.8888888888889
0.01,30.74,14.06,42.67,25.86,49.32,25.86,48.99,25.98,47.8,25.8,49.32,41.3701553345,1.9965695143,152.9846954346,1.3611,97.1388888888889
0.01,30.56,14.08,43.38,25.86,49.32,25.86,48.99,25.98,47.8,25.8,49.32,41.3701553345,1.9965695143,152.9846954346,1.3611,98.3888888888889
0.01,30.77,14.12,42.8,25.86,49.32,25.86,48.99,25.98,47.8,25.8,49.32,41.3701553345,1.9965695143,152.9846954346,1.3611,99.6388888888889
0.01,30.7,14.12,42.62,25.86,49.32,25.86,48.99,25.98,47.8,25.8,49.32,41.3701553345,1.9965695143,152.9846954346,1.3611,100.888888888889
0.01,30.44,14.03,42.08,0.01,30.68,14.1,NaN,26.05,47.53,25.81,49.19,41.3701553345,1.996568203,152.1871948242,1.4233,100.888888888889
0.01,30.69,14.08,42.55,0.01,30.68,14.1,NaN,26.05,47.53,25.81,49.19,41.3701553345,1.996568203,152.1871948242,1.4233,102.888888888889
0.01,30.77,14.1,42.33,0.01,30.68,14.1,NaN,26.05,47.53,25.81,49.19,41.3701553345,1.996568203,152.1871948242,1.4233,104.888888888889
0.01,30.57,14.05,42.1,0.01,30.68,14.1,NaN,26.05,47.53,25.81,49.19,41.3701553345,1.996568203,152.1871948242,1.4233,106.888888888889
0.01,30.48,14.03,41.81,25.98,49.16,25.98,48.89,26.11,47.66,25.91,49.16,41.3701705933,1.9965797663,143.5052032471,0.4847,106.888888888889
0.01,30.38,14.02,41.74,25.98,49.16,25.98,48.89,26.11,47.66,25.91,49.16,41.3701705933,1.9965797663,143.5052032471,0.4847,109.888888888889
0.01,30.68,14.09,42.03,25.98,49.16,25.98,48.89,26.11,47.66,25.91,49.16,41.3701705933,1.9965797663,143.5052032471,0.4847,112.888888888889
0.01,30.7,14.02,41.33,25.98,49.16,25.98,48.89,26.11,47.66,25.91,49.16,41.3701705933,1.9965797663,143.5052032471,0.4847,115.888888888889
0.01,30.61,14.02,41.47,25.98,49.16,25.98,48.89,26.11,47.66,25.91,49.16,41.3701705933,1.9965797663,143.5052032471,0.4847,118.888888888889
0.01,30.51,14.11,41.85,25.98,49.16,25.98,48.89,26.11,47.66,25.91,49.16,41.3701705933,1.9965797663,143.5052032471,0.4847,121.888888888889
0.01,30.57,14.08,41.83,25.98,49.16,25.98,48.89,26.11,47.66,25.91,49.16,41.3701705933,1.9965797663,143.5052032471,0.4847,124.888888888889
0.01,30.57,14,41.1,25.98,49.16,25.98,48.89,26.11,47.66,25.91,49.16,41.3701705933,1.9965797663,143.5052032471,0.4847,127.888888888889
0.01,30.42,14.03,41.36,25.98,49.16,25.98,48.89,26.11,47.66,25.91,49.16,41.3701705933,1.9965797663,143.5052032471,0.4847,130.888888888889
