TGS2600,TGS2602,TGS2611,TGS2620,T1,RH1,T2,RH2,T3,RH3,T4,RH4,LAT,LONG,ALT,ACC,t
14.4,24.61,12,24.39,26.94,61.99,26.97,61.75,27.05,59.03,26.86,61.99,41.5446,2.2148,85.1414,3.4034,23
14.35,24.68,12.07,24.38,26.94,61.99,26.97,61.75,27.05,59.03,26.86,61.99,41.5446,2.2148,85.1414,3.4034,24
14.35,24.7,12.05,24.45,26.94,61.99,26.97,61.75,27.05,59.03,26.86,61.99,41.5446,2.2148,85.1414,3.4034,25
14.37,24.62,12.12,24.68,26.94,61.99,26.97,61.75,27.05,59.03,26.86,61.99,41.5446,2.2148,85.1414,3.4034,26
14.47,24.81,12.03,24.5,26.94,61.99,26.97,61.75,27.05,59.03,26.86,61.99,41.5446,2.2148,85.1414,3.4034,27
14.43,24.72,12.17,24.45,26.94,61.99,26.97,61.75,27.05,59.03,26.86,61.99,41.5446,2.2148,85.1414,3.4034,28
14.48,24.72,12.09,24.44,27.02,61.81,27.02,61.65,27.08,59.03,26.91,61.81,41.5446,2.2148,84.6495,3.4054,28
14.51,24.77,12.3,24.65,27.02,61.81,27.02,61.65,27.08,59.03,26.91,61.81,41.5446,2.2148,84.6495,3.4054,30.4
14.57,24.7,12.11,24.51,27.02,61.81,27.02,61.65,27.08,59.03,26.91,61.81,41.5446,2.2148,84.6495,3.4054,32.8
14.56,24.89,12.31,24.66,27.02,61.81,27.02,61.65,27.08,59.03,26.91,61.81,41.5446,2.2148,84.6495,3.4054,35.2
14.63,24.84,12.33,24.61,27.02,61.81,27.02,61.65,27.08,59.03,26.91,61.81,41.5446,2.2148,84.6495,3.4054,37.6
14.57,24.71,12.24,24.73,27.06,61.58,27.11,61.29,27.16,58.62,26.97,61.58,41.5446,2.2148,83.7624,3.415,37.6
14.63,24.84,12.35,24.68,27.06,61.58,27.11,61.29,27.16,58.62,26.97,61.58,41.5446,2.2148,83.7624,3.415,40
14.69,24.9,12.34,24.78,27.06,61.58,27.11,61.29,27.16,58.62,26.97,61.58,41.5446,2.2148,83.7624,3.415,42.4
14.71,24.9,12.35,24.7,27.06,61.58,27.11,61.29,27.16,58.62,26.97,61.58,41.5446,2.2148,83.7624,3.415,44.8
14.69,24.71,12.17,24.79,27.06,61.58,27.11,61.29,27.16,58.62,26.97,61.58,41.5446,2.2148,83.7624,3.415,47.2
14.71,24.81,12.34,24.8,27.12,61.42,27.16,61.17,27.22,58.49,27.05,61.42,41.5446,2.2148,82.932,3.449,47.2
