Sent to board: Gas_read 1
Received by board: OK: auto gas read on, interval = 1s
Received by board: ERR: 334  60568 2048 0 0
Received by board: MES: gas_levels = -12731  20342   23073
Received by board: MES: gas_levels = -12888  20297   22869
Received by board: MES: gas_levels = -12608  20182   22869
Received by board: MES: gas_levels = -12786  20185   22869
Received by board: MES: gas_levels = -13026  20110   22869
Received by board: MES: gas_levels = -12676  20360   22869
Received by board: MES: gas_levels = -12864  20349   22869
Received by board: MES: gas_levels = -12993  20364   22869
Received by board: MES: gas_levels = -12957  20238   22869
Received by board: MES: gas_levels = -12916  20318   22869
Received by board: MES: gas_levels = -12663  20198   22869
Received by board: MES: gas_levels = -12890  20040   22869
Received by board: MES: gas_levels = -12872  20074   22869
Received by board: MES: gas_levels = -12690  20046   22869
Received by board: MES: gas_levels = -12765  20141   22869
Received by board: MES: gas_levels = -12676  19993   22869
Received by board: MES: gas_levels = -12701  20097   22869
Received by board: MES: gas_levels = -12560  20075   22869
Received by board: MES: gas_levels = -12255  20049   22869
Received by board: MES: gas_levels = -12665  20137   22869
Received by board: MES: gas_levels = -12483  19937   22869
Received by board: MES: gas_levels = -12727  20063   22869
Received by board: MES: gas_levels = -12585  19961   22869
Received by board: MES: gas_levels = -12684  20043   22869
Received by board: MES: gas_levels = -12632  20043   22869
Received by board: MES: gas_levels = -12687  19997   22869
Received by board: MES: gas_levels = -12736  19989   22869
Received by board: MES: gas_levels = -12353  20093   22869
Received by board: MES: gas_levels = -12568  20074   22869
Received by board: MES: gas_levels = -12717  20067   22869
Received by board: MES: gas_levels = -12712  20023   22869
Received by board: MES: gas_levels = -12955  20121   22869
Received by board: MES: gas_levels = -12806  20093   22869
Received by board: MES: gas_levels = -12622  19987   22869
Received by board: MES: gas_levels = -12660  20022   22869
Received by board: MES: gas_levels = -12609  19939   22869
Received by board: MES: gas_levels = -12662  19907   22869
Received by board: MES: gas_levels = -12615  19916   22869
Received by board: MES: gas_levels = -12716  19997   22869
Received by board: MES: gas_levels = -12719  19933   22869
Received by board: MES: gas_levels = -12789  19918   22869
Received by board: MES: gas_levels = -12550  19897   22869
Received by board: MES: gas_levels = -12546  19865   22869
Received by board: MES: gas_levels = -12861  19909   22869
Received by board: MES: gas_levels = -12901  19864   22869
Received by board: MES: gas_levels = -12859  19898   22869
Received by board: MES: gas_levels = -12538  19850   22869
Received by board: MES: gas_levels = -12618  19845   22869
Received by board: MES: gas_levels = -12880  19781   22869
Received by board: MES: gas_levels = -12706  19786   22869
Received by board: MES: gas_levels = -12534  19844   22869
Received by board: MES: gas_levels = -12599  19921   22869
Received by board: MES: gas_levels = -12731  19834   22869
Received by board: MES: gas_levels = -12922  19839   22869
Received by board: MES: gas_levels = -12917  19851   22869
Received by board: MES: gas_levels = -13039  19879   22869
Received by board: MES: gas_levels = -12812  19870   22869
Received by board: MES: gas_levels = -13015  19873   22869
Received by board: MES: gas_levels = -12872  19863   22869
Received by board: MES: gas_levels = -12826  19801   22869
Received by board: MES: gas_levels = -13035  19894   22869
Received by board: MES: gas_levels = -13111  19957   22869
Received by board: MES: gas_levels = -13075  19930   22869
Received by board: MES: gas_levels = -13080  19855   22869
Received by board: MES: gas_levels = -13003  19949   22869
Received by board: MES: gas_levels = -12982  19970   22869
Received by board: MES: gas_levels = -12994  19954   22869
Received by board: MES: gas_levels = -12874  19929   22869
Received by board: MES: gas_levels = -12770  19924   22869
Received by board: MES: gas_levels = -13004  19891   23039
Received by board: MES: gas_levels = -13021  19910   23039
Received by board: MES: gas_levels = -13130  19948   23039
Received by board: MES: gas_levels = -13170  19847   23039
Received by board: MES: gas_levels = -13215  19952   23039
Received by board: MES: gas_levels = -13033  19870   23039
Received by board: MES: gas_levels = -13098  19875   23039
Received by board: MES: gas_levels = -12924  19840   23039
Received by board: MES: gas_levels = -13060  19927   23039
Received by board: MES: gas_levels = -12860  19925   23039
Received by board: MES: gas_levels = -13236  19889   23039
Received by board: MES: gas_levels = -13019  19897   22869
Received by board: MES: gas_levels = -13053  19839   22869
Received by board: MES: gas_levels = -13073  19809   22869
Received by board: MES: gas_levels = -13080  19869   22869
Received by board: MES: gas_levels = -13055  19638   22869
Received by board: MES: gas_levels = -13053  19764   22869
Received by board: MES: gas_levels = -13074  19753   22869
Received by board: MES: gas_levels = -12833  19774   22869
Received by board: MES: gas_levels = -12954  19836   22869
Received by board: MES: gas_levels = -12969  19737   22869
Received by board: MES: gas_levels = -12868  19815   22869
Received by board: MES: gas_levels = -13127  19752   22869
Received by board: MES: gas_levels = -12759  19623   22869
Received by board: MES: gas_levels = -12912  19642   22869
Received by board: MES: gas_levels = -12930  19688   22869
Received by board: MES: gas_levels = -12618  19634   22869
Received by board: MES: gas_levels = -13007  19603   22869
Received by board: MES: gas_levels = -12918  19597   22869
Received by board: MES: gas_levels = -12717  19575   22869
Received by board: MES: gas_levels = -13052  19642   22869
Received by board: MES: gas_levels = -12886  19603   22869
Received by board: MES: gas_levels = -12848  19565   22869
Received by board: MES: gas_levels = -12768  19580   22869
Received by board: MES: gas_levels = -12558  19577   22869
Received by board: MES: gas_levels = -12559  19500   22869
Received by board: MES: gas_levels = -12839  19511   22869
Received by board: MES: gas_levels = -12670  19614   22869
Received by board: MES: gas_levels = -12858  19650   22869
Received by board: MES: gas_levels = -12757  19596   22869
Received by board: MES: gas_levels = -12527  19471   22869
Received by board: MES: gas_levels = -12729  19511   22869
Received by board: MES: gas_levels = -12511  19541   22869
Received by board: MES: gas_levels = -13064  19479   22869
Received by board: MES: gas_levels = -12648  19590   22869
Received by board: MES: gas_levels = -12854  19519   22869
Received by board: MES: gas_levels = -12615  19572   22869
Received by board: MES: gas_levels = -12698  19439   22869
Received by board: MES: gas_levels = -12648  19503   22869
Received by board: MES: gas_levels = -12724  19479   22869
Received by board: MES: gas_levels = -12528  19493   22869
Received by board: MES: gas_levels = -12668  19544   22869
Received by board: MES: gas_levels = -12666  19494   22869
Received by board: MES: gas_levels = -12537  19449   22869
Received by board: MES: gas_levels = -12710  19412   22869
Received by board: MES: gas_levels = -12858  19425   22869
Received by board: MES: gas_levels = -12921  19349   22869
Received by board: MES: gas_levels = -12884  19462   22869
Received by board: MES: gas_levels = -13035  19424   22869
Received by board: MES: gas_levels = -12800  19466   22869
Received by board: MES: gas_levels = -12610  19395   22869
Received by board: MES: gas_levels = -12804  19384   22869
Received by board: MES: gas_levels = -12520  19309   22869
Received by board: MES: gas_levels = -12533  19406   22869
Received by board: MES: gas_levels = -12744  19508   22869
Received by board: MES: gas_levels = -12507  19365   22869
Received by board: MES: gas_levels = -12619  19248   22869
Received by board: MES: gas_levels = -12863  19222   22869
Received by board: MES: gas_levels = -12708  19247   22869
Received by board: MES: gas_levels = -12776  19212   22869
Received by board: MES: gas_levels = -12469  19207   22869
Received by board: MES: gas_levels = -12409  19294   22869
Received by board: MES: gas_levels = -12845  19218   22869
Received by board: MES: gas_levels = -12652  19287   22869
Received by board: MES: gas_levels = -12796  19295   22869
Received by board: MES: gas_levels = -12525  19353   22869
Received by board: MES: gas_levels = -12758  19326   22869
Received by board: MES: gas_levels = -12494  19292   22869
Received by board: MES: gas_levels = -12794  19251   23073
Received by board: MES: gas_levels = -12600  19257   22869
Received by board: MES: gas_levels = -12683  19239   23073
Received by board: MES: gas_levels = -12679  19326   23073
Received by board: MES: gas_levels = -12933  19190   23073
Received by board: MES: gas_levels = -12881  19184   23073
Received by board: MES: gas_levels = -12574  19088   23073
Received by board: MES: gas_levels = -12718  19186   23073
Received by board: MES: gas_levels = -12481  19211   23073
Received by board: MES: gas_levels = -12946  19153   23073
Received by board: MES: gas_levels = -12744  19160   23073
Received by board: MES: gas_levels = -12828  19261   22869
Received by board: MES: gas_levels = -12522  19225   22869
Received by board: MES: gas_levels = -12769  19248   22869
Received by board: MES: gas_levels = -12894  19186   22869
Received by board: MES: gas_levels = -12391  19167   22869
Received by board: MES: gas_levels = -12477  19137   22869
Received by board: MES: gas_levels = -12829  19171   22869
Received by board: MES: gas_levels = -12546  19101   22869
Received by board: MES: gas_levels = -12676  19075   22869
Received by board: MES: gas_levels = -12530  19060   22869
Received by board: MES: gas_levels = -12890  19118   22869
Received by board: MES: gas_levels = -12860  19029   22869
Received by board: MES: gas_levels = -12613  19160   22869
Received by board: MES: gas_levels = -12397  19167   22869
Received by board: MES: gas_levels = -12471  19049   22869
Received by board: MES: gas_levels = -12844  19114   22869
Received by board: MES: gas_levels = -12731  19115   22869
Received by board: MES: gas_levels = -12511  19149   22869
Received by board: MES: gas_levels = -12392  19013   22869
Received by board: MES: gas_levels = -12698  19101   22869
Received by board: MES: gas_levels = -12625  19129   22869
Received by board: MES: gas_levels = -12837  19008   22869
Received by board: MES: gas_levels = -12554  18986   22869
Received by board: MES: gas_levels = -12837  19053   22869
Received by board: MES: gas_levels = -12573  18924   22869
Received by board: MES: gas_levels = -12837  19105   22869
Received by board: MES: gas_levels = -12629  19060   22869
Received by board: MES: gas_levels = -12498  19019   22869
Received by board: MES: gas_levels = -12351  18899   22869
Received by board: MES: gas_levels = -12439  18974   22869
Received by board: MES: gas_levels = -12174  18965   22869
Received by board: MES: gas_levels = -12594  18855   22869
Received by board: MES: gas_levels = -12624  18876   22869
Received by board: MES: gas_levels = -12434  18993   22869
Received by board: MES: gas_levels = -12378  19017   22869
Received by board: MES: gas_levels = -12502  19015   22869
Received by board: MES: gas_levels = -12531  18920   22869
Received by board: MES: gas_levels = -12449  18962   22869
Received by board: MES: gas_levels = -12204  18917   22869
Received by board: MES: gas_levels = -12665  18868   22869
Received by board: MES: gas_levels = -12358  18951   22869
Received by board: MES: gas_levels = -12577  18909   22869
Received by board: MES: gas_levels = -12594  18953   22869
Received by board: MES: gas_levels = -12677  18846   22869
Received by board: MES: gas_levels = -12696  18953   22869
Received by board: MES: gas_levels = -12788  18910   22869
Received by board: MES: gas_levels = -12332  18895   22869
Received by board: MES: gas_levels = -12679  18846   22869
Received by board: MES: gas_levels = -12760  18895   22869
Received by board: MES: gas_levels = -12346  18773   22869
Received by board: MES: gas_levels = -12470  18839   22869
Received by board: MES: gas_levels = -12950  18915   22869
Received by board: MES: gas_levels = -12914  19073   22869
Received by board: MES: gas_levels = -13211  19225   22869
Received by board: MES: gas_levels = -12445  18981   22869
Received by board: MES: gas_levels = -12393  18883   22869
Received by board: MES: gas_levels = -12490  18904   22869
Received by board: MES: gas_levels = -12444  18856   22869
Received by board: MES: gas_levels = -12527  18869   22869
Received by board: MES: gas_levels = -12605  18887   22869
Received by board: MES: gas_levels = -12648  18891   22869
Received by board: MES: gas_levels = -12575  18905   22869
Received by board: MES: gas_levels = -12283  18850   22869
Received by board: MES: gas_levels = -12181  18878   22869
Received by board: MES: gas_levels = -12594  18886   22869
Received by board: MES: gas_levels = -12447  18816   22869
Received by board: MES: gas_levels = -12513  18838   22869
Received by board: MES: gas_levels = -12567  18902   22869
Received by board: MES: gas_levels = -12557  18912   22869
Received by board: MES: gas_levels = -12480  18902   23039
Received by board: MES: gas_levels = -12662  18877   23039
Received by board: MES: gas_levels = -12693  18967   23039
Received by board: MES: gas_levels = -12375  18874   23039
Received by board: MES: gas_levels = -12415  18895   23039
Received by board: MES: gas_levels = -12376  18900   23039
Received by board: MES: gas_levels = -12687  18914   23039
Received by board: MES: gas_levels = -12592  18921   23039
Received by board: MES: gas_levels = -12695  18885   23039
Received by board: MES: gas_levels = -12450  18898   22869
Received by board: MES: gas_levels = -12295  18842   22869
Received by board: MES: gas_levels = -12438  18834   22869
Received by board: MES: gas_levels = -12301  18869   22869
Received by board: MES: gas_levels = -12260  18726   22869
Received by board: MES: gas_levels = -12595  18833   22869
Received by board: MES: gas_levels = -12386  18709   22869
Received by board: MES: gas_levels = -12466  18822   22869
Received by board: MES: gas_levels = -12616  18903   22869
Received by board: MES: gas_levels = -12612  18852   22869
Received by board: MES: gas_levels = -12418  18955   22869
Received by board: MES: gas_levels = -12268  18821   22869
Received by board: MES: gas_levels = -12578  18771   22869
Received by board: MES: gas_levels = -12490  18805   22869
Received by board: MES: gas_levels = -12534  18929   22869
Received by board: MES: gas_levels = -12530  18848   22869
Received by board: MES: gas_levels = -12226  18784   22869
Received by board: MES: gas_levels = -12179  18859   22869
Received by board: MES: gas_levels = -12254  18863   22869
Received by board: MES: gas_levels = -12133  18785   22869
Received by board: MES: gas_levels = -12582  18815   22869
Received by board: MES: gas_levels = -12550  18899   22869
Received by board: MES: gas_levels = -12285  18856   22869
Received by board: MES: gas_levels = -12195  18852   22869
Received by board: MES: gas_levels = -12459  18874   22869
Received by board: MES: gas_levels = -12294  18778   22869
Received by board: MES: gas_levels = -12265  18825   22869
Received by board: MES: gas_levels = -12311  18777   22869
Received by board: MES: gas_levels = -12402  18792   22869
Received by board: MES: gas_levels = -12360  18857   22869
Received by board: MES: gas_levels = -12189  18810   22869
Received by board: MES: gas_levels = -12627  18872   22869
Received by board: MES: gas_levels = -12527  18867   22869
Received by board: MES: gas_levels = -12602  18871   22869
Received by board: MES: gas_levels = -12727  18801   22869
Received by board: MES: gas_levels = -12626  18790   22869
Received by board: MES: gas_levels = -12442  18862   22869
Received by board: MES: gas_levels = -12352  18748   22869
Received by board: MES: gas_levels = -12375  18814   22869
Received by board: MES: gas_levels = -12486  18826   22869
Received by board: MES: gas_levels = -12589  18775   22869
Received by board: MES: gas_levels = -12468  18886   22869
Received by board: MES: gas_levels = -12436  18855   22869
Received by board: MES: gas_levels = -12791  18874   22869
Received by board: MES: gas_levels = -12551  18879   22869
