Sent to board: Gas_read 1
Received by board: OK: auto gas read on, interval = 1s
Received by board: ERR: 334  60568 2048 0 0
Received by board: MES: gas_levels = -11264  20103   22869
Received by board: MES: gas_levels = -11601  20083   22869
Received by board: MES: gas_levels = -11434  20068   22869
Received by board: MES: gas_levels = -11411  20061   22869
Received by board: MES: gas_levels = -11371  20063   22869
Received by board: MES: gas_levels = -11326  20101   22869
Received by board: MES: gas_levels = -11151  20090   22869
Received by board: MES: gas_levels = -11103  20080   22869
Received by board: MES: gas_levels = -10870  20103   22869
Received by board: MES: gas_levels = -10894  20099   22869
Received by board: MES: gas_levels = -11009  20087   22869
Received by board: MES: gas_levels = -11029  20122   22869
Received by board: MES: gas_levels = -10845  20048   22869
Received by board: MES: gas_levels = -10908  20072   22869
Received by board: MES: gas_levels = -10904  20128   22869
Received by board: MES: gas_levels = -10852  20106   22869
Received by board: MES: gas_levels = -10945  20075   22869
Received by board: MES: gas_levels = -10806  20108   22869
Received by board: MES: gas_levels = -10804  20113   22869
Received by board: MES: gas_levels = -10977  20107   22869
Received by board: MES: gas_levels = -11016  20120   22869
Received by board: MES: gas_levels = -11074  20047   22869
Received by board: MES: gas_levels = -11247  20100   22869
Received by board: MES: gas_levels = -11292  20071   22869
Received by board: MES: gas_levels = -11262  20096   22869
Received by board: MES: gas_levels = -11099  20013   22869
Received by board: MES: gas_levels = -11014  20037   22869
Received by board: MES: gas_levels = -10879  19989   22869
Received by board: MES: gas_levels = -10889  20054   22869
Received by board: MES: gas_levels = -10871  19970   22869
Received by board: MES: gas_levels = -10712  20032   22869
Received by board: MES: gas_levels = -10854  19952   22869
Received by board: MES: gas_levels = -10872  19971   22869
Received by board: MES: gas_levels = -10897  20009   22869
Received by board: MES: gas_levels = -10857  19999   22869
Received by board: MES: gas_levels = -10881  20059   22869
Received by board: MES: gas_levels = -10883  20090   22869
Received by board: MES: gas_levels = -10976  20034   22869
Received by board: MES: gas_levels = -11245  20135   22869
Received by board: MES: gas_levels = -11639  20114   22869
Received by board: MES: gas_levels = -11943  20079   22869
Received by board: MES: gas_levels = -11965  20137   22869
Received by board: MES: gas_levels = -12059  20063   22869
Received by board: MES: gas_levels = -11748  20123   22869
Received by board: MES: gas_levels = -11825  20145   22869
Received by board: MES: gas_levels = -11923  20138   22869
Received by board: MES: gas_levels = -11901  20143   22869
Received by board: MES: gas_levels = -11894  20117   22869
Received by board: MES: gas_levels = -11964  20123   22869
Received by board: MES: gas_levels = -12023  20024   22869
Received by board: MES: gas_levels = -12264  20065   22869
Received by board: MES: gas_levels = -12252  20051   22869
Received by board: MES: gas_levels = -12191  20029   23039
Received by board: MES: gas_levels = -12016  20046   23039
Received by board: MES: gas_levels = -11832  20057   23039
Received by board: MES: gas_levels = -11700  20089   23039
Received by board: MES: gas_levels = -11711  20089   23039
Received by board: MES: gas_levels = -11555  20125   23039
Received by board: MES: gas_levels = -11471  20124   23039
Received by board: MES: gas_levels = -11481  20090   23039
Received by board: MES: gas_levels = -11514  20151   23039
Received by board: MES: gas_levels = -11360  20055   23039
Received by board: MES: gas_levels = -11573  19999   22869
Received by board: MES: gas_levels = -11354  20044   22869
Received by board: MES: gas_levels = -11374  20107   22869
Received by board: MES: gas_levels = -11472  20110   22869
Received by board: MES: gas_levels = -11132  20118   22869
Received by board: MES: gas_levels = -11090  20093   22869
Received by board: MES: gas_levels = -11301  20062   22869
Received by board: MES: gas_levels = -11194  20028   22869
Received by board: MES: gas_levels = -11093  19972   22869
Received by board: MES: gas_levels = -10838  20077   22869
Received by board: MES: gas_levels = -10872  20054   22869
Received by board: MES: gas_levels = -10719  20010   22869
Received by board: MES: gas_levels = -10864  20043   22869
Received by board: MES: gas_levels = -10555  19987   22869
Received by board: MES: gas_levels = -10445  20020   22869
Received by board: MES: gas_levels = -10649  20029   22869
Received by board: MES: gas_levels = -10515  19999   22869
Received by board: MES: gas_levels = -10509  20043   22869
